03-09,DET-DAL,99-102,Team,
17-22,25-28,29-26,28-26,
DET
Jae Crowder,F,25:41,1,3,0.333,0,2,0.000,0,2,0.000,0,0,0,5,1,0,0,1,2,-18.000
Dirk Nowitzki,F,31:22,6,14,0.429,0,1,0.000,0,0,0.000,0,7,7,2,0,0,2,2,12,2.000
Chris Kaman,C,14:37,5,7,0.714,0,0,0.000,0,2,0.000,0,6,6,3,1,0,3,4,10,-8.000
O.J. Mayo,G,34:52,7,15,0.467,5,9,0.556,3,4,0.750,1,4,5,3,1,0,0,0,22,-5.000
Mike James,G,28:35,4,8,0.500,4,6,0.667,0,0,0.000,0,1,1,3,0,0,3,3,12,-8.000
Elton Brand,,30:58,4,6,0.667,0,0,0.000,1,2,0.500,1,5,6,3,1,1,0,2,9,11.000
Darren Collison,,28:47,3,9,0.333,0,2,0.000,5,5,1.000,0,3,3,8,0,0,2,1,11,21.000
Brandan Wright,,18:50,7,10,0.700,0,0,0.000,0,0,0.000,2,4,6,2,1,3,0,0,14,1.000
Vince Carter,,26:18,4,6,0.667,2,2,1.000,0,0,0.000,0,7,7,0,1,1,2,2,10,19.000
DAL
Kyle Singler,F,27:40,3,11,0.273,1,6,0.167,2,3,0.667,1,3,4,0,3,1,1,3,9,-4.000
Jason Maxiell,F,34:05,4,10,0.400,0,0,0.000,4,6,0.667,6,7,13,0,1,1,0,3,12,-1.000
Greg Monroe,C,33:56,5,13,0.385,0,1,0.000,4,5,0.800,0,10,10,4,1,0,2,0,14,0.000
Brandon Knight,G,31:43,9,17,0.529,2,6,0.333,1,1,1.000,1,2,3,3,0,0,1,3,21,-1.000
Jose Calderon,G,35:19,3,8,0.375,1,5,0.200,0,0,0.000,1,5,6,7,0,0,0,2,7,5.000
Rodney Stuckey,,12:51,0,1,0.000,0,0,0.000,1,2,0.500,0,0,0,1,0,0,0,1,1,-9.000
Jonas Jerebko,,14:11,2,9,0.222,1,2,0.500,0,0,0.000,3,2,5,2,1,0,1,3,5,-11.000
Will Bynum,,16:07,2,6,0.333,0,0,0.000,0,0,0.000,1,2,3,0,0,1,4,0,4,-1.000
Khris Middleton,,20:20,6,12,0.500,2,5,0.400,0,1,0.000,2,3,5,1,1,0,1,4,14,1.000
