03-13,MIN-SAS,107-83,Team,
24-28,29-10,24-22,30-23,
MIN
Stephen Jackson,F,26:04,5,10,0.500,3,5,0.600,1,2,0.500,1,4,5,0,1,1,0,1,14,3.000
Matt Bonner,F,18:51,1,4,0.250,0,1,0.000,0,0,0.000,0,6,6,0,0,0,1,1,2,5.000
Tiago Splitter,C,22:15,1,10,0.100,0,0,0.000,2,2,1.000,4,7,11,3,1,0,3,2,4,-3.000
Danny Green,G,24:21,4,10,0.400,2,6,0.333,0,0,0.000,0,4,4,2,1,0,2,2,10,-22.000
Cory Joseph,G,25:56,5,9,0.556,1,1,1.000,4,4,1.000,0,2,2,3,0,1,3,2,15,-1.000
Gary Neal,,7:25,0,2,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-12.000
Manu Ginobili,,21:37,2,10,0.200,0,4,0.000,3,4,0.750,0,0,0,1,0,0,2,2,7,-30.000
Boris Diaw,,23:09,3,11,0.273,0,4,0.000,0,0,0.000,1,3,4,2,4,0,3,4,6,-19.000
DeJuan Blair,,16:00,2,2,1.000,0,0,0.000,0,0,0.000,0,1,1,0,1,0,1,4,4,-17.000
Nando De Colo,,20:13,4,6,0.667,1,2,0.500,4,4,1.000,2,2,4,2,0,0,0,0,13,-5.000
SAS
Patty Mills,,24:24,2,7,0.286,2,5,0.400,2,2,1.000,0,1,1,6,1,0,1,2,8,-15.000
Aron Baynes,,9:45,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,2,0,1,0,-4.000
Mickael Gelabale,F,26:11,2,5,0.400,1,1,1.000,0,0,0.000,3,2,5,2,0,1,0,3,5,9.000
Derrick Williams,F,23:59,5,10,0.500,0,1,0.000,3,7,0.429,1,4,5,0,0,1,3,0,13,-2.000
Greg Stiemsma,C,23:52,3,5,0.600,0,0,0.000,0,0,0.000,1,6,7,0,1,1,2,4,6,-4.000
Luke Ridnour,G,27:25,6,9,0.667,2,2,1.000,0,0,0.000,0,1,1,2,0,0,1,0,14,-3.000
Ricky Rubio,G,34:48,9,17,0.529,1,5,0.200,2,3,0.667,1,12,13,12,0,1,4,4,21,23.000
Jose Juan Barea,,25:55,6,14,0.429,5,7,0.714,0,0,0.000,0,5,5,5,0,0,0,3,17,21.000
Dante Cunningham,,25:43,4,11,0.364,0,0,0.000,1,2,0.500,2,2,4,1,3,0,0,2,9,31.000
Alexey Shved,,29:47,6,8,0.750,3,4,0.750,1,2,0.500,1,2,3,7,1,1,3,3,16,24.000
