03-19,MIN-MEM,77-92,Team,
20-22,19-23,14-29,24-18,
MIN
Andrei Kirilenko,F,16:14,4,6,0.667,0,1,0.000,0,1,0.000,0,1,1,0,0,0,1,0,8,-12.000
Derrick Williams,F,26:09,3,12,0.250,1,5,0.200,1,1,1.000,1,5,6,1,0,0,2,1,8,-16.000
Nikola Pekovic,C,24:14,3,9,0.333,0,0,0.000,3,4,0.750,3,2,5,0,0,1,0,2,9,-22.000
Luke Ridnour,G,24:16,2,10,0.200,1,3,0.333,1,2,0.500,2,3,5,3,0,1,2,1,6,-19.000
Ricky Rubio,G,21:03,1,6,0.167,0,1,0.000,0,0,0.000,0,2,2,3,1,0,0,2,2,-15.000
Mickael Gelabale,,31:46,4,5,0.800,1,2,0.500,2,2,1.000,2,5,7,1,2,0,2,1,11,-3.000
Jose Juan Barea,,26:57,3,13,0.231,2,9,0.222,3,5,0.600,0,3,3,2,0,0,3,2,11,0.000
Dante Cunningham,,21:51,3,9,0.333,0,0,0.000,0,0,0.000,5,2,7,2,0,0,0,2,6,1.000
Alexey Shved,,23:44,5,9,0.556,1,3,0.333,1,1,1.000,0,2,2,2,1,1,0,0,12,4.000
Greg Stiemsma,,23:46,1,7,0.143,0,0,0.000,2,2,1.000,1,6,7,0,3,1,1,1,4,7.000
MEM
Zach Randolph,F,34:48,7,11,0.636,0,0,0.000,0,0,0.000,2,8,10,0,2,1,1,3,14,20.000
Tayshaun Prince,F,36:12,6,12,0.500,0,0,0.000,0,2,0.000,3,11,14,4,0,1,2,1,12,16.000
Marc Gasol,C,33:22,6,13,0.462,0,0,0.000,4,5,0.800,2,6,8,5,0,4,3,2,16,17.000
Tony Allen,G,17:26,3,7,0.429,0,0,0.000,1,1,1.000,1,3,4,0,0,1,0,4,7,13.000
Mike Conley,G,33:31,8,14,0.571,3,6,0.500,1,1,1.000,1,2,3,6,2,0,1,1,20,25.000
Jerryd Bayless,,25:00,7,12,0.583,1,4,0.250,0,0,0.000,0,0,0,2,0,0,2,3,15,4.000
Quincy Pondexter,,23:14,2,6,0.333,1,3,0.333,0,0,0.000,0,0,0,1,1,0,2,3,5,-5.000
Ed Davis,,17:03,1,4,0.250,0,0,0.000,0,0,0.000,2,4,6,0,0,2,0,3,2,-4.000
Tony Wroten,,6:13,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-3.000
Austin Daye,,13:11,0,2,0.000,0,2,0.000,1,2,0.500,0,4,4,1,1,1,1,1,1,-8.000
