03-19,NYK-UTA,90-83,Team,
23-21,19-23,24-19,24-20,
NYK
Iman Shumpert,F,16:35,3,7,0.429,2,3,0.667,0,0,0.000,0,2,2,1,0,0,0,0,8,-3.000
Chris Copeland,F,31:15,6,15,0.400,1,4,0.250,1,2,0.500,0,6,6,2,0,0,2,4,14,3.000
Kenyon Martin,C,20:56,4,6,0.667,0,0,0.000,1,4,0.250,4,5,9,0,1,1,0,3,9,3.000
Pablo Prigioni,G,20:09,1,3,0.333,1,2,0.500,0,0,0.000,2,0,2,3,0,0,0,4,3,-1.000
Raymond Felton,G,41:31,8,12,0.667,2,3,0.667,1,2,0.500,0,1,1,4,3,0,1,1,19,8.000
J.R. Smith,,31:25,5,13,0.385,1,4,0.250,9,10,0.900,2,3,5,1,1,0,4,3,20,10.000
Jason Kidd,,27:51,2,5,0.400,1,4,0.250,2,2,1.000,0,3,3,5,1,0,1,1,7,8.000
Marcus Camby,,6:52,0,0,0.000,0,0,0.000,0,0,0.000,0,3,3,0,2,1,1,1,0,2.000
Kurt Thomas,,26:47,3,5,0.600,0,0,0.000,0,0,0.000,0,3,3,2,0,3,2,2,6,3.000
Steve Novak,,16:39,0,3,0.000,0,3,0.000,4,5,0.800,0,0,0,0,1,0,1,2,4,2.000
UTA
Gordon Hayward,F,36:55,6,14,0.429,3,6,0.500,2,2,1.000,1,1,2,3,1,4,2,0,17,-3.000
Paul Millsap,F,29:02,4,9,0.444,0,1,0.000,4,4,1.000,4,1,5,0,2,1,4,4,12,-3.000
Al Jefferson,C,31:06,4,13,0.308,0,0,0.000,2,2,1.000,3,8,11,3,0,0,2,3,10,-4.000
Randy Foye,G,18:14,2,3,0.667,2,3,0.667,0,0,0.000,0,0,0,1,0,0,1,4,6,-4.000
Mo Williams,G,31:07,4,14,0.286,1,2,0.500,0,0,0.000,2,4,6,5,2,0,2,3,9,-3.000
Derrick Favors,,21:21,1,7,0.143,0,0,0.000,5,12,0.417,5,8,13,0,2,0,1,1,7,-1.000
Earl Watson,,16:53,1,1,1.000,0,0,0.000,0,0,0.000,0,1,1,4,3,0,1,1,2,-4.000
Alec Burks,,12:54,2,5,0.400,1,3,0.333,0,0,0.000,0,0,0,0,0,0,1,3,5,-2.000
Enes Kanter,,14:31,1,3,0.333,0,0,0.000,3,4,0.750,2,0,2,0,0,0,3,1,5,-6.000
Marvin Williams,,27:57,4,7,0.571,2,4,0.500,0,0,0.000,2,4,6,1,0,0,0,3,10,-5.000
