03-25,POR-OKC,83-103,Team,
19-24,28-21,21-30,15-28,
POR
Nicolas Batum,F,36:53,4,11,0.364,2,6,0.333,3,4,0.750,2,6,8,8,0,2,1,3,13,-16.000
LaMarcus Aldridge,F,39:53,3,14,0.214,0,0,0.000,4,4,1.000,2,10,12,0,3,2,3,1,10,-22.000
JJ Hickson,C,27:05,6,11,0.545,0,0,0.000,0,1,0.000,0,7,7,2,2,1,3,3,12,2.000
Wesley Matthews,G,36:24,3,11,0.273,2,6,0.333,0,0,0.000,0,1,1,0,2,0,1,1,8,-22.000
Damian Lillard,G,38:03,7,16,0.438,4,9,0.444,1,2,0.500,2,2,4,6,0,0,2,1,19,-11.000
Meyers Leonard,,23:51,4,4,1.000,0,0,0.000,1,2,0.500,1,0,1,2,0,0,2,3,9,-8.000
Eric Maynor,,25:21,4,10,0.400,2,4,0.500,0,0,0.000,0,0,0,4,0,0,3,4,10,-12.000
Will Barton,,6:45,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,2,-5.000
Luke Babbitt,,1:55,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
Nolan Smith,,1:55,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,-2.000
Joel Freeland,,1:55,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
OKC
Kevin Durant,F,37:20,10,17,0.588,2,3,0.667,2,2,1.000,0,10,10,2,2,0,3,1,24,12.000
Serge Ibaka,F,26:36,7,9,0.778,0,0,0.000,2,2,1.000,1,2,3,1,0,5,2,3,16,17.000
Kendrick Perkins,C,24:26,2,6,0.333,0,0,0.000,0,0,0.000,0,5,5,0,2,0,1,2,4,2.000
Thabo Sefolosha,G,19:15,1,2,0.500,0,1,0.000,2,2,1.000,0,3,3,2,1,0,0,2,4,0.000
Russell Westbrook,G,33:34,9,18,0.500,0,2,0.000,3,5,0.600,0,4,4,9,1,0,2,2,21,17.000
Nick Collison,,26:07,5,6,0.833,0,0,0.000,0,0,0.000,3,3,6,0,1,0,1,1,10,6.000
Kevin Martin,,26:50,4,10,0.400,2,2,1.000,1,2,0.500,1,1,2,2,1,0,1,2,11,18.000
Reggie Jackson,,15:15,2,6,0.333,0,2,0.000,2,2,1.000,1,3,4,6,2,0,0,0,6,12.000
Derek Fisher,,15:24,0,2,0.000,0,1,0.000,0,0,0.000,0,1,1,1,0,0,0,0,0,7.000
Hasheem Thabeet,,9:28,2,4,0.500,0,0,0.000,1,3,0.333,2,1,3,0,1,0,0,1,5,3.000
DeAndre Liggins,,1:55,1,1,1.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,0,2,2.000
Perry Jones,,1:55,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,2.000
Ronnie Brewer,,1:55,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,1,0,0,0,0,2.000
