04-02,IND-LAC,109-106,Team,
29-21,22-22,30-22,28-41,
IND
Paul George,F,42:56,7,15,0.467,2,7,0.286,7,9,0.778,1,5,6,10,4,1,1,2,23,2.000
David West,F,35:38,7,14,0.500,0,0,0.000,2,2,1.000,1,6,7,6,2,1,4,3,16,18.000
Roy Hibbert,C,32:16,11,14,0.786,0,0,0.000,4,7,0.571,5,5,10,2,1,1,0,6,26,21.000
Lance Stephenson,G,36:29,5,9,0.556,1,3,0.333,2,2,1.000,1,2,3,2,0,0,1,3,13,5.000
George Hill,G,38:03,4,8,0.500,3,7,0.429,2,2,1.000,0,2,2,4,0,1,2,2,13,9.000
Tyler Hansbrough,,13:57,0,1,0.000,0,0,0.000,2,2,1.000,0,2,2,0,0,0,1,3,2,-16.000
Orlando Johnson,,11:25,2,3,0.667,2,3,0.667,0,0,0.000,0,2,2,2,0,0,2,1,6,-4.000
Ian Mahinmi,,13:50,0,1,0.000,0,0,0.000,0,2,0.000,1,2,3,1,1,0,1,2,0,-12.000
D.J. Augustin,,10:03,3,5,0.600,2,3,0.667,2,2,1.000,0,0,0,0,0,0,1,1,10,-4.000
Sam Young,,5:08,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,2,0,0,1,1,0,-1.000
Jeff Ayres,,0:15,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-3.000
LAC
Caron Butler,F,17:58,4,7,0.571,0,2,0.000,2,2,1.000,1,0,1,2,0,0,2,2,10,-11.000
Blake Griffin,F,28:22,8,13,0.615,0,0,0.000,1,1,1.000,2,3,5,0,1,0,2,1,17,-23.000
DeAndre Jordan,C,15:55,0,2,0.000,0,0,0.000,0,2,0.000,1,4,5,0,0,0,1,2,0,-18.000
Willie Green,G,20:16,4,5,0.800,1,1,1.000,0,1,0.000,1,0,1,2,1,0,1,1,9,-15.000
Chris Paul,G,30:38,2,12,0.167,0,1,0.000,6,6,1.000,0,2,2,8,1,0,4,4,10,-22.000
Ryan Hollins,,31:25,4,5,0.800,0,0,0.000,3,3,1.000,3,3,6,1,0,0,2,5,11,11.000
Matt Barnes,,26:39,3,4,0.750,2,3,0.667,0,0,0.000,1,4,5,1,0,0,0,5,8,3.000
Jamal Crawford,,27:45,8,19,0.421,2,6,0.333,7,7,1.000,0,0,0,3,1,0,2,1,25,21.000
Lamar Odom,,19:54,3,6,0.500,0,2,0.000,3,3,1.000,4,6,10,2,3,1,0,1,9,19.000
Eric Bledsoe,,21:08,3,7,0.429,0,1,0.000,1,1,1.000,1,0,1,5,0,0,0,1,7,20.000
