04-04,BKN-CLE,113-95,Team,
28-20,38-16,29-32,18-27,
BKN
Keith Bogans,F,21:03,0,5,0.000,0,5,0.000,0,0,0.000,0,2,2,5,0,0,1,0,0,17.000
Reggie Evans,F,27:07,3,5,0.600,0,0,0.000,2,6,0.333,2,16,18,0,2,0,4,4,8,23.000
Brook Lopez,C,26:03,4,9,0.444,0,0,0.000,6,6,1.000,4,2,6,1,0,2,1,2,14,27.000
MarShon Brooks,G,36:53,12,16,0.750,1,3,0.333,2,2,1.000,0,4,4,7,0,1,5,3,27,4.000
Deron Williams,G,27:00,8,14,0.571,4,6,0.667,4,4,1.000,0,3,3,8,0,0,1,3,24,23.000
Jerry Stackhouse,,20:01,4,6,0.667,1,2,0.500,0,0,0.000,0,0,0,2,0,0,0,1,9,3.000
Kris Humphries,,20:53,1,3,0.333,0,0,0.000,0,0,0.000,0,3,3,0,0,1,1,0,2,-5.000
CJ Watson,,24:05,4,6,0.667,4,4,1.000,0,0,0.000,0,2,2,7,2,0,1,2,12,17.000
Andray Blatche,,19:20,5,7,0.714,0,0,0.000,1,2,0.500,1,2,3,0,1,0,3,4,11,-7.000
Tyshawn Taylor,,5:25,1,3,0.333,0,1,0.000,2,2,1.000,0,1,1,1,1,0,0,0,4,-4.000
Mirza Teletovic,,5:25,1,2,0.500,0,0,0.000,0,0,0.000,1,1,2,0,0,0,0,1,2,-4.000
Tornike Shengelia,,4:08,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-2.000
Kris Joseph,,2:37,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
CLE
Alonzo Gee,F,28:30,3,8,0.375,1,2,0.500,2,2,1.000,2,1,3,0,2,0,1,1,9,-22.000
Tristan Thompson,F,26:53,4,11,0.364,0,0,0.000,0,1,0.000,2,6,8,2,0,0,1,2,8,-23.000
Tyler Zeller,C,26:14,5,9,0.556,0,0,0.000,4,5,0.800,1,3,4,0,0,1,2,4,14,-19.000
Wayne Ellington,G,28:23,2,8,0.250,1,3,0.333,0,0,0.000,1,3,4,3,2,0,1,0,5,-24.000
Kyrie Irving,G,28:04,5,16,0.313,1,2,0.500,5,6,0.833,1,1,2,6,1,1,2,2,16,-23.000
Daniel Gibson,,19:37,1,6,0.167,0,2,0.000,2,2,1.000,0,1,1,2,0,0,0,1,4,6.000
Luke Walton,,14:33,1,5,0.200,0,1,0.000,0,0,0.000,0,0,0,4,0,1,1,0,2,1.000
Shaun Livingston,,13:22,1,2,0.500,0,0,0.000,2,2,1.000,0,0,0,0,0,0,1,1,4,1.000
Marreese Speights,,21:46,7,13,0.538,0,0,0.000,2,2,1.000,6,4,10,1,1,0,1,4,16,1.000
CJ Miles,,13:13,3,4,0.750,1,1,1.000,4,4,1.000,0,3,3,0,1,0,0,2,11,0.000
Chris Quinn,,6:34,0,2,0.000,0,1,0.000,2,2,1.000,0,0,0,0,0,0,0,0,2,4.000
Kevin Jones,,6:34,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,1,1,0,0,4.000
Omri Casspi,,6:17,2,5,0.400,0,2,0.000,0,0,0.000,0,0,0,0,1,0,0,0,4,4.000
