04-08,CHI-DET,85-99,Team,
26-23,20-27,21-25,18-24,
CHI
Jimmy Butler,F,44:55,5,8,0.625,2,2,1.000,2,4,0.500,2,2,4,2,1,1,1,0,14,-14.000
Carlos Boozer,F,40:50,10,18,0.556,0,0,0.000,1,1,1.000,1,9,10,3,2,0,3,3,21,-8.000
Joakim Noah,C,21:25,4,4,1.000,0,0,0.000,5,8,0.625,2,5,7,3,1,1,1,1,13,7.000
Kirk Hinrich,G,37:49,2,8,0.250,0,3,0.000,3,4,0.750,1,4,5,8,3,0,4,5,7,-5.000
Nate Robinson,G,34:05,8,19,0.421,1,5,0.200,1,2,0.500,0,2,2,1,0,0,1,5,18,-8.000
Nazr Mohammed,,17:09,1,4,0.250,0,0,0.000,0,0,0.000,1,1,2,0,0,2,0,1,2,-15.000
Marco Belinelli,,20:27,0,2,0.000,0,1,0.000,0,2,0.000,0,0,0,2,0,0,0,2,0,-15.000
Vladimir Radmanovic,,15:17,1,5,0.200,0,3,0.000,2,2,1.000,1,2,3,0,0,0,0,1,4,-12.000
Daequan Cook,,5:41,1,4,0.250,0,1,0.000,0,0,0.000,0,0,0,0,0,1,1,0,2,-2.000
Marquis Teague,,1:11,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,1.000
Malcolm Thomas,,1:11,1,1,1.000,0,0,0.000,2,2,1.000,0,0,0,0,0,0,0,0,4,1.000
DET
Kyle Singler,F,21:02,3,6,0.500,2,3,0.667,0,0,0.000,0,1,1,0,1,1,0,2,8,-2.000
Greg Monroe,F,32:17,5,11,0.455,0,0,0.000,1,2,0.500,2,5,7,7,0,0,2,2,11,2.000
Andre Drummond,C,20:01,1,2,0.500,0,0,0.000,1,2,0.500,1,9,10,0,1,0,1,5,3,-3.000
Rodney Stuckey,G,35:45,5,12,0.417,1,2,0.500,3,3,1.000,1,1,2,5,1,0,2,2,14,7.000
Brandon Knight,G,37:19,7,12,0.583,1,4,0.250,5,7,0.714,0,2,2,5,0,0,3,2,20,10.000
Khris Middleton,,32:36,4,7,0.571,2,2,1.000,0,0,0.000,0,3,3,2,2,0,0,4,10,19.000
Jonas Jerebko,,27:07,7,8,0.875,1,2,0.500,2,2,1.000,2,7,9,0,1,0,2,1,17,16.000
Charlie Villanueva,,14:51,5,11,0.455,2,5,0.400,0,0,0.000,1,3,4,1,0,1,1,3,12,11.000
Will Bynum,,17:18,2,4,0.500,0,0,0.000,0,1,0.000,1,1,2,5,0,0,2,2,4,8.000
Kim English,,0:52,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,1.000
Viacheslav Kravtsov,,0:52,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,1.000
