04-08,DAL-POR,96-91,Team,
29-18,27-14,25-29,15-30,
DAL
Shawn Marion,F,34:34,10,14,0.714,0,0,0.000,0,0,0.000,1,6,7,2,0,1,1,2,20,5.000
Dirk Nowitzki,F,23:44,2,7,0.286,0,2,0.000,2,2,1.000,1,4,5,3,3,0,1,1,6,21.000
Chris Kaman,C,24:45,12,21,0.571,0,0,0.000,2,2,1.000,6,5,11,1,1,2,2,1,26,1.000
O.J. Mayo,G,36:06,3,12,0.250,1,3,0.333,0,0,0.000,0,3,3,7,2,1,3,2,7,2.000
Mike James,G,24:58,1,4,0.250,0,2,0.000,0,0,0.000,0,2,2,4,1,0,0,2,2,-7.000
Vince Carter,,30:56,4,11,0.364,2,5,0.400,4,6,0.667,1,5,6,2,0,1,0,1,14,-2.000
Darren Collison,,30:34,2,6,0.333,0,0,0.000,0,0,0.000,0,1,1,8,1,0,3,1,4,0.000
Brandan Wright,,23:15,6,10,0.600,0,0,0.000,0,1,0.000,3,6,9,0,1,2,2,1,12,4.000
Jae Crowder,,11:09,2,5,0.400,0,1,0.000,1,1,1.000,1,3,4,1,0,0,0,0,5,1.000
POR
Victor Claver,F,28:04,3,5,0.600,1,3,0.333,0,0,0.000,1,2,3,1,2,1,4,3,7,-14.000
LaMarcus Aldridge,F,38:33,8,16,0.500,0,0,0.000,2,2,1.000,1,5,6,3,1,0,3,1,18,-17.000
JJ Hickson,C,21:02,3,7,0.429,0,0,0.000,0,0,0.000,2,3,5,0,0,1,2,0,6,-15.000
Wesley Matthews,G,13:18,1,4,0.250,1,3,0.333,0,0,0.000,0,1,1,2,0,0,2,0,3,-16.000
Damian Lillard,G,40:23,6,19,0.316,0,5,0.000,3,5,0.600,0,1,1,4,0,0,0,2,15,3.000
Meyers Leonard,,14:07,1,2,0.500,0,0,0.000,0,0,0.000,0,1,1,0,1,1,1,2,2,11.000
Eric Maynor,,25:27,4,6,0.667,0,2,0.000,0,0,0.000,0,3,3,6,0,0,2,2,8,1.000
Luke Babbitt,,26:40,4,10,0.400,2,7,0.286,0,0,0.000,0,6,6,1,1,0,0,4,10,9.000
Will Barton,,32:27,7,11,0.636,0,2,0.000,8,9,0.889,2,11,13,6,3,0,0,2,22,13.000
