04-11,PHX-DAL,102-91,Team,
28-21,33-30,20-20,21-20,
PHX
PJ Tucker,F,33:11,6,9,0.667,3,4,0.750,2,2,1.000,3,7,10,3,2,0,1,0,17,19.000
Markieff Morris,F,34:33,5,12,0.417,2,4,0.500,0,0,0.000,1,6,7,1,0,1,2,5,12,3.000
Luis Scola,C,36:09,4,14,0.286,0,0,0.000,3,3,1.000,5,10,15,2,3,0,0,5,11,19.000
Wesley Johnson,G,24:29,7,13,0.538,3,8,0.375,0,0,0.000,0,3,3,1,0,0,1,0,17,14.000
Goran Dragic,G,36:57,7,14,0.500,2,4,0.500,5,6,0.833,1,3,4,13,2,1,2,2,21,20.000
Marcus Morris,,14:58,0,3,0.000,0,3,0.000,0,0,0.000,0,1,1,1,0,1,3,2,0,-8.000
Jared Dudley,,24:21,5,9,0.556,2,3,0.667,6,6,1.000,0,2,2,1,0,1,0,0,18,-3.000
Kendall Marshall,,11:03,1,3,0.333,0,1,0.000,0,0,0.000,0,0,0,3,0,0,0,0,2,-9.000
DAL
Shawn Marion,F,33:56,9,16,0.563,0,2,0.000,4,6,0.667,2,7,9,1,3,1,1,1,22,-18.000
Dirk Nowitzki,F,33:55,6,18,0.333,2,5,0.400,7,7,1.000,3,5,8,3,0,0,1,2,21,21.000
Chris Kaman,C,20:41,1,6,0.167,0,0,0.000,0,0,0.000,2,6,8,1,0,1,0,1,2,-18.000
O.J. Mayo,G,37:45,2,10,0.200,0,2,0.000,2,2,1.000,2,3,5,6,0,0,5,2,6,-12.000
Mike James,G,27:07,4,6,0.667,1,1,1.000,0,0,0.000,0,4,4,3,1,0,2,4,9,-7.000
Darren Collison,,18:35,1,6,0.167,0,0,0.000,1,2,0.500,2,1,3,3,0,0,1,2,3,-7.000
Brandan Wright,,21:24,3,8,0.375,0,0,0.000,0,0,0.000,1,5,6,1,1,5,0,0,6,8.000
Vince Carter,,27:51,6,12,0.500,3,6,0.500,3,4,0.750,2,4,6,2,1,1,2,2,18,-18.000
Jae Crowder,,11:04,1,2,0.500,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,5.000
Bernard James,,2:17,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,1,0,-9.000
Josh Akognon,,3:43,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,2,2,3.000
Anthony Morrow,,1:41,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-3.000
