04-18,PHI-IND,105-95,Team,
25-16,34-21,26-31,20-27,
PHI
Evan Turner,F,39:32,7,18,0.389,1,3,0.333,1,2,0.500,1,5,6,5,2,0,2,4,16,11.000
Thaddeus Young,F,21:20,5,7,0.714,0,0,0.000,0,0,0.000,0,8,8,0,3,0,1,4,10,14.000
Spencer Hawes,C,4:14,1,2,0.500,1,2,0.500,0,0,0.000,0,0,0,0,0,1,0,2,3,9.000
Damien Wilkins,G,35:48,6,11,0.545,0,2,0.000,3,3,1.000,0,2,2,2,1,1,4,5,15,3.000
Jrue Holiday,G,9:16,2,2,1.000,1,1,1.000,0,0,0.000,0,1,1,0,0,0,1,0,5,10.000
Lavoy Allen,,32:20,4,9,0.444,0,0,0.000,3,4,0.750,3,8,11,0,0,0,3,1,11,4.000
Dorell Wright,,36:05,8,15,0.533,4,8,0.500,3,3,1.000,0,2,2,5,1,2,0,2,23,7.000
Arnett Moultrie,,28:50,7,11,0.636,0,0,0.000,0,0,0.000,6,6,12,1,0,0,1,3,14,-1.000
Justin Holiday,,26:30,3,8,0.375,1,2,0.500,1,2,0.500,0,0,0,3,2,2,3,2,8,-1.000
Nick Young,,6:05,0,2,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-6.000
IND
Gerald Green,F,39:57,14,23,0.609,6,12,0.500,0,1,0.000,1,5,6,1,2,1,3,2,34,-6.000
Tyler Hansbrough,F,27:38,3,9,0.333,0,0,0.000,4,6,0.667,3,6,9,0,0,0,3,2,10,-3.000
Ian Mahinmi,C,34:03,2,5,0.400,0,0,0.000,1,5,0.200,4,2,6,1,1,0,3,3,5,-7.000
Lance Stephenson,G,25:45,5,8,0.625,0,1,0.000,2,2,1.000,1,2,3,6,0,0,4,2,12,-16.000
D.J. Augustin,G,24:26,1,4,0.250,0,3,0.000,1,2,0.500,1,1,2,5,0,0,2,1,3,-10.000
Jeff Ayres,,27:58,5,10,0.500,0,1,0.000,2,2,1.000,1,5,6,1,2,2,1,0,12,0.000
Orlando Johnson,,16:10,1,8,0.125,0,5,0.000,0,0,0.000,0,3,3,0,1,0,0,0,2,-5.000
Sam Young,,20:03,1,2,0.500,0,1,0.000,2,4,0.500,0,3,3,0,1,0,0,3,4,3.000
Miles Plumlee,,6:21,1,3,0.333,0,0,0.000,0,0,0.000,1,1,2,0,0,0,0,0,2,-10.000
Ben Hansbrough,,17:39,3,8,0.375,0,3,0.000,5,5,1.000,1,1,2,3,1,1,0,1,11,4.000
