06-10,SAS-MIA,84-103,Playoff,
22-22,23-28,20-25,19-28,
SAS
Kawhi Leonard,F,33:29,4,12,0.333,1,3,0.333,0,1,0.000,8,6,14,2,1,0,1,2,9,-21.000
Tim Duncan,F,30:14,3,13,0.231,0,0,0.000,3,4,0.750,3,8,11,1,0,0,1,1,9,-14.000
Tiago Splitter,C,22:37,2,5,0.400,0,0,0.000,0,0,0.000,0,1,1,1,0,1,1,1,4,-2.000
Danny Green,G,30:00,6,6,1.000,5,5,1.000,0,0,0.000,0,1,1,1,0,1,1,4,17,-9.000
Tony Parker,G,33:01,5,14,0.357,0,1,0.000,3,4,0.750,1,2,3,5,0,1,5,0,13,-27.000
Manu Ginobili,,17:52,2,6,0.333,1,4,0.250,0,0,0.000,0,2,2,1,1,0,3,3,5,-23.000
Boris Diaw,,10:58,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,2,0,0,0,1,0,-3.000
Gary Neal,,21:52,3,7,0.429,2,3,0.667,2,2,1.000,0,2,2,0,0,0,3,2,10,-28.000
Cory Joseph,,9:05,3,3,1.000,0,0,0.000,2,3,0.667,2,1,3,1,0,0,1,0,8,12.000
Tracy McGrady,,7:43,0,1,0.000,0,0,0.000,0,0,0.000,0,2,2,2,0,1,0,0,0,5.000
Patty Mills,,7:43,1,3,0.333,0,2,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,5.000
Matt Bonner,,7:43,2,4,0.500,1,2,0.500,0,0,0.000,0,1,1,0,0,0,0,0,5,5.000
DeJuan Blair,,7:43,1,4,0.250,0,0,0.000,0,0,0.000,1,3,4,0,1,0,0,0,2,5.000
MIA
LeBron James,F,40:33,7,17,0.412,1,3,0.333,2,2,1.000,1,7,8,7,3,3,2,2,17,29.000
Udonis Haslem,F,15:37,2,4,0.500,0,0,0.000,1,1,1.000,2,0,2,0,0,0,0,2,5,-3.000
Chris Bosh,C,31:12,6,10,0.600,0,0,0.000,0,0,0.000,4,6,10,4,3,1,0,1,12,9.000
Dwyane Wade,G,29:34,5,13,0.385,0,0,0.000,0,2,0.000,0,2,2,6,0,1,2,1,10,4.000
Mario Chalmers,G,35:22,6,12,0.500,2,4,0.500,5,5,1.000,0,4,4,2,1,0,0,1,19,30.000
Mike Miller,,15:57,3,3,1.000,3,3,1.000,0,0,0.000,0,0,0,1,1,0,0,2,9,22.000
Ray Allen,,24:56,5,8,0.625,3,5,0.600,0,0,0.000,0,1,1,0,0,0,0,0,13,27.000
Chris Andersen,,14:19,3,3,1.000,0,0,0.000,3,4,0.750,1,3,4,0,1,1,1,5,9,12.000
Norris Cole,,12:38,1,5,0.200,0,1,0.000,0,0,0.000,1,1,2,1,0,0,0,2,2,-11.000
Rashard Lewis,,4:58,2,3,0.667,0,0,0.000,0,0,0.000,0,1,1,1,0,0,1,0,4,-6.000
Joel Anthony,,4:58,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-6.000
Shane Battier,,4:58,1,3,0.333,1,3,0.333,0,0,0.000,0,1,1,0,0,0,0,0,3,-6.000
James Jones,,4:58,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-6.000
