06-12,MIA-SAS,77-113,Playoff,
20-24,24-26,19-28,14-35,
MIA
LeBron James,F,39:02,7,21,0.333,1,5,0.200,0,0,0.000,1,10,11,5,2,0,2,0,15,-32.000
Udonis Haslem,F,10:29,0,2,0.000,0,0,0.000,0,0,0.000,2,1,3,0,0,1,0,2,0,-13.000
Chris Bosh,C,31:51,4,10,0.400,0,1,0.000,4,6,0.667,2,8,10,4,1,3,1,2,12,-21.000
Dwyane Wade,G,33:56,7,15,0.467,0,0,0.000,2,2,1.000,0,0,0,5,4,1,2,0,16,-29.000
Mario Chalmers,G,20:03,0,5,0.000,0,1,0.000,0,0,0.000,1,1,2,1,0,0,4,4,0,-19.000
Mike Miller,,22:09,5,5,1.000,5,5,1.000,0,0,0.000,0,0,0,0,0,0,0,1,15,-3.000
Chris Andersen,,10:56,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,1,1,2,2,-9.000
Norris Cole,,26:45,3,8,0.375,1,2,0.500,1,2,0.500,0,1,1,3,2,1,3,3,8,-13.000
Ray Allen,,19:10,2,2,1.000,0,0,0.000,0,0,0.000,1,1,2,2,0,0,2,3,4,-21.000
Shane Battier,,8:30,0,2,0.000,0,2,0.000,0,0,0.000,0,3,3,0,0,0,0,2,0,-5.000
James Jones,,5:43,1,2,0.500,1,2,0.500,0,0,0.000,0,1,1,0,0,1,1,1,3,-5.000
Joel Anthony,,5:43,1,1,1.000,0,0,0.000,0,0,0.000,2,1,3,0,0,0,0,1,2,-5.000
Rashard Lewis,,5:43,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,-5.000
SAS
Kawhi Leonard,F,29:24,6,10,0.600,2,3,0.667,0,0,0.000,3,9,12,2,4,0,1,2,14,29.000
Tim Duncan,F,28:59,5,11,0.455,0,0,0.000,2,4,0.500,7,7,14,1,0,2,4,2,12,18.000
Tiago Splitter,C,23:49,3,7,0.429,0,0,0.000,2,2,1.000,4,1,5,1,2,0,0,2,8,26.000
Danny Green,G,30:49,9,15,0.600,7,9,0.778,2,2,1.000,3,1,4,0,2,2,0,1,27,23.000
Tony Parker,G,27:28,2,5,0.400,1,1,1.000,1,3,0.333,0,2,2,8,0,0,2,2,6,27.000
Manu Ginobili,,23:24,3,7,0.429,0,4,0.000,1,2,0.500,0,2,2,6,0,0,2,2,7,6.000
Matt Bonner,,12:16,0,3,0.000,0,2,0.000,2,2,1.000,0,2,2,1,0,0,0,1,2,1.000
Cory Joseph,,20:32,1,4,0.250,0,1,0.000,0,1,0.000,1,1,2,4,2,0,3,0,2,9.000
Gary Neal,,25:14,9,17,0.529,6,10,0.600,0,0,0.000,0,4,4,3,0,0,0,0,24,21.000
Tracy McGrady,,6:39,0,2,0.000,0,1,0.000,0,0,0.000,0,2,2,3,0,0,0,0,0,10.000
Patty Mills,,5:43,1,2,0.500,0,1,0.000,0,0,0.000,0,1,1,0,0,0,0,0,2,5.000
DeJuan Blair,,5:43,4,5,0.800,0,0,0.000,1,3,0.333,1,1,2,0,0,0,0,1,9,5.000
