10-11,OKC-HOU,105-107,Preseason,
31-30,24-24,23-29,27-24,
OKC
Cole Aldrich,,34,5,7,0.714,0,0,0.000,0,0,0.000,4,7,11,0,1,3,3,5,10,0
Daequan Cook,,15,2,6,0.333,1,4,0.250,0,0,0.000,0,0,0,0,2,0,0,2,5,0
DeAndre Liggins,,25,4,6,0.667,0,0,0.000,2,3,0.667,2,2,4,2,2,1,1,1,10,0
Eric Maynor,,15,3,10,0.300,1,5,0.200,0,0,0.000,0,0,0,4,0,0,0,2,7,0
Hasheem Thabeet,,14,5,6,0.833,0,0,0.000,0,0,0.000,2,1,3,0,0,1,1,6,10,0
James Harden,,21,3,11,0.273,1,4,0.250,2,2,1.000,0,1,1,3,1,0,3,3,9,0
Kevin Durant,,20,5,10,0.500,2,4,0.500,1,1,1.000,0,3,3,1,2,0,1,1,13,0
Lazar Hayward,,24,3,10,0.300,0,2,0.000,2,2,1.000,2,3,5,2,2,0,0,1,8,0
Nick Collison,,21,1,4,0.250,0,0,0.000,0,0,0.000,2,1,3,1,0,0,2,1,2,0
Perry Jones,,18,4,7,0.571,0,1,0.000,0,0,0.000,2,3,5,1,0,0,0,1,8,0
Reggie Jackson,,16,2,4,0.500,0,1,0.000,0,0,0.000,0,1,1,5,1,0,3,3,4,0
Russell Westbrook,,16,6,9,0.667,2,3,0.667,5,6,0.833,0,2,2,3,0,0,1,1,19,0
HOU
Carlos Delfino,,23,1,8,0.125,1,7,0.143,0,0,0.000,0,4,4,1,1,0,1,2,3,0
Chandler Parsons,,22,5,9,0.556,0,3,0.000,0,0,0.000,4,0,4,3,0,1,4,1,10,0
Donatas Motiejunas,,18,2,4,0.500,0,1,0.000,2,4,0.500,3,1,4,1,0,1,1,2,6,0
Gary Forbes,,13,2,6,0.333,1,4,0.250,0,0,0.000,1,1,2,0,0,0,1,0,5,0
Greg Smith,,5,1,2,0.500,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,0,2,0
Jeremy Lamb,,24,3,9,0.333,1,3,0.333,5,6,0.833,1,7,8,0,1,0,1,1,12,0
Jeremy Lin,,20,1,3,0.333,0,2,0.000,1,2,0.500,0,1,1,6,3,0,3,2,3,0
Kevin Martin,,9,3,4,0.750,1,1,1.000,4,4,1.000,0,0,0,1,1,0,1,1,11,0
Kyle Fogg,,4,1,2,0.500,1,2,0.500,0,0,0.000,0,2,2,0,0,0,0,0,3,0
Marcus Morris,,12,3,5,0.600,0,1,0.000,1,2,0.500,0,1,1,0,1,1,0,1,7,0
Omer Asik,,17,3,6,0.500,0,0,0.000,3,4,0.750,4,3,7,2,0,1,2,0,9,0
Patrick Patterson,,20,4,9,0.444,0,1,0.000,2,3,0.667,0,3,3,2,0,0,0,1,10,0
Scott Machado,,8,0,2,0.000,0,0,0.000,2,2,1.000,1,0,1,3,0,0,0,0,2,0
Terrence Jones,,25,8,14,0.571,1,2,0.500,3,4,0.750,5,1,6,0,0,1,1,2,20,0
Toney Douglas,,21,0,3,0.000,0,1,0.000,4,4,1.000,1,4,5,7,0,0,2,1,4,0
