10-22,PHI-BOS,88-79,Preseason,
21-22,30-19,15-21,22-17,
PHI
Arnett Moultrie,,19,0,1,0.000,0,0,0.000,0,0,0.000,0,3,3,0,2,0,2,3,0,0
Damien Wilkins,,21,0,4,0.000,0,1,0.000,0,0,0.000,0,0,0,4,2,0,1,3,0,0
Dorell Wright,,25,7,11,0.636,2,4,0.500,4,7,0.571,3,2,5,2,2,1,1,0,20,0
Evan Turner,,27,4,11,0.364,0,1,0.000,2,2,1.000,1,4,5,1,0,0,2,0,10,0
Jason Richardson,,24,3,9,0.333,2,6,0.333,0,0,0.000,0,3,3,3,0,1,1,2,8,0
Jrue Holiday,,27,4,9,0.444,0,1,0.000,2,3,0.667,1,5,6,5,3,0,1,3,10,0
Lavoy Allen,,16,1,3,0.333,0,0,0.000,2,2,1.000,2,1,3,1,0,0,1,6,4,0
Maalik Wayns,,17,2,5,0.400,1,3,0.333,2,2,1.000,0,0,0,4,0,0,0,2,7,0
Nick Young,,25,5,9,0.556,2,5,0.400,3,4,0.750,1,5,6,0,2,1,4,2,15,0
Royal Ivey,,6,0,2,0.000,0,2,0.000,0,0,0.000,0,0,0,0,0,0,1,1,0,0
Spencer Hawes,,29,6,13,0.462,0,1,0.000,0,2,0.000,1,3,4,2,1,1,2,4,12,0
BOS
Brandon Bass,,26,5,7,0.714,0,0,0.000,0,0,0.000,2,2,4,1,0,2,2,0,10,0
Courtney Lee,,27,3,8,0.375,2,3,0.667,2,2,1.000,0,2,2,1,1,1,1,1,10,0
Fab Melo,,6,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,0
Jared Sullinger,,28,3,5,0.600,0,0,0.000,5,7,0.714,0,6,6,0,0,1,1,4,11,0
Jeff Green,,34,5,10,0.500,0,2,0.000,2,3,0.667,1,9,10,0,2,4,3,3,12,0
Kevin Garnett,,23,2,7,0.286,0,0,0.000,4,4,1.000,1,6,7,3,0,0,2,2,8,0
Kris Joseph,,16,0,3,0.000,0,0,0.000,5,6,0.833,2,0,2,0,0,0,1,2,5,0
Micah Downs,,9,1,2,0.500,0,1,0.000,1,2,0.500,0,0,0,0,0,0,2,1,3,0
Paul Pierce,,32,3,12,0.250,0,3,0.000,2,3,0.667,0,1,1,3,2,1,5,0,8,0
Rajon Rondo,,33,6,12,0.500,0,1,0.000,0,0,0.000,1,3,4,10,1,0,1,3,12,0
Rob Kurz,,7,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,0
