10-27,WAS-SAS,85-100,Preseason,
25-21,25-26,16-27,19-26,
WAS
A.J. Price,,25,5,9,0.556,3,5,0.600,0,0,0.000,1,0,1,2,0,0,2,2,13,0
Bradley Beal,,19,0,6,0.000,0,2,0.000,0,0,0.000,0,1,1,1,0,0,2,3,0,0
Brian Cook,,8,0,2,0.000,0,1,0.000,0,0,0.000,0,4,4,1,0,0,0,1,0,0
Cartier Martin,,21,3,8,0.375,1,2,0.500,2,2,1.000,1,3,4,1,0,0,1,3,9,0
Chris Singleton,,20,1,4,0.250,0,0,0.000,3,4,0.750,2,4,6,0,1,0,2,1,5,0
Earl Barron,,23,6,10,0.600,0,0,0.000,0,0,0.000,3,7,10,0,1,0,0,1,12,0
Jan Vesely,,22,5,8,0.625,0,0,0.000,3,3,1.000,4,0,4,1,1,0,1,3,13,0
Jordan Crawford,,21,4,12,0.333,1,4,0.250,2,4,0.500,1,1,2,4,0,0,2,1,11,0
Martell Webster,,27,2,8,0.250,1,4,0.250,0,0,0.000,1,4,5,2,1,0,0,1,5,0
Shavlik Randolph,,4,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,0
Shelvin Mack,,24,0,4,0.000,0,0,0.000,2,2,1.000,0,2,2,4,0,0,0,3,2,0
Trevor Booker,,20,3,6,0.500,0,0,0.000,4,6,0.667,1,4,5,3,0,0,2,4,10,0
SAS
Boris Diaw,,22,2,2,1.000,0,0,0.000,0,0,0.000,1,2,3,1,1,0,1,1,4,0
Cory Joseph,,5,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,0
Danny Green,,21,3,7,0.429,1,5,0.200,3,3,1.000,0,1,1,2,0,0,0,1,10,0
DeJuan Blair,,8,3,3,1.000,0,0,0.000,0,0,0.000,0,1,1,1,1,0,1,2,6,0
Gary Neal,,20,1,5,0.200,0,3,0.000,4,5,0.800,0,0,0,3,0,0,1,2,6,0
Josh Powell,,5,0,1,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,0,0,0
Kawhi Leonard,,33,3,8,0.375,0,2,0.000,5,6,0.833,3,6,9,1,1,0,1,3,11,0
Matt Bonner,,17,0,4,0.000,0,4,0.000,0,0,0.000,1,0,1,1,0,0,1,1,0,0
Nando De Colo,,5,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,2,0,0,0,0,0,0
Patty Mills,,11,4,4,1.000,1,1,1.000,1,2,0.500,0,1,1,3,0,0,2,3,10,0
Stephen Jackson,,25,5,10,0.500,1,3,0.333,5,6,0.833,0,4,4,1,2,0,0,2,16,0
Tiago Splitter,,11,2,3,0.667,0,0,0.000,3,4,0.750,2,5,7,0,1,0,0,1,7,0
Tim Duncan,,28,7,13,0.538,0,0,0.000,2,5,0.400,4,9,13,3,0,2,1,2,16,0
Tony Parker,,30,5,13,0.385,0,0,0.000,4,4,1.000,0,3,3,4,0,1,3,2,14,0
