12-06,DAL-LAC,90-112,Team,
18-29,24-31,26-23,22-29,
DAL
Shawn Marion,F,28:56,7,13,0.538,0,0,0.000,0,0,0.000,4,1,5,2,0,0,0,2,14,-16.000
Jae Crowder,F,17:33,0,6,0.000,0,3,0.000,2,2,1.000,1,0,1,3,2,1,0,2,2,-6.000
Chris Kaman,C,28:37,6,13,0.462,0,0,0.000,2,2,1.000,1,5,6,1,1,0,4,2,14,-17.000
O.J. Mayo,G,33:31,4,12,0.333,0,4,0.000,3,5,0.600,0,4,4,7,3,1,4,1,11,-17.000
Derek Fisher,G,27:23,5,11,0.455,3,5,0.600,2,2,1.000,0,1,1,2,0,0,1,2,15,2.000
Darren Collison,,18:01,2,5,0.400,0,1,0.000,4,4,1.000,0,2,2,2,1,0,5,4,8,-24.000
Vince Carter,,23:06,6,12,0.500,2,5,0.400,2,2,1.000,3,4,7,1,1,0,3,0,16,-13.000
Elton Brand,,20:38,2,5,0.400,0,0,0.000,0,0,0.000,2,7,9,0,0,0,3,2,4,-10.000
Bernard James,,8:44,0,0,0.000,0,0,0.000,0,0,0.000,0,3,3,0,0,2,1,1,0,-4.000
Dahntay Jones,,14:50,1,5,0.200,0,1,0.000,2,2,1.000,0,2,2,0,0,0,0,1,4,-1.000
Brandan Wright,,11:37,1,1,1.000,0,0,0.000,0,0,0.000,0,1,1,0,0,2,1,0,2,-2.000
Dominique Jones,,2:36,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,1,0,0.000
Rodrigue Beaubois,,4:28,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,-2.000
LAC
Caron Butler,F,24:56,5,9,0.556,2,4,0.500,4,5,0.800,1,4,5,0,0,0,1,2,16,17.000
Blake Griffin,F,28:13,8,13,0.615,0,1,0.000,3,4,0.750,3,10,13,5,2,1,2,2,19,16.000
DeAndre Jordan,C,24:17,5,7,0.714,0,0,0.000,2,4,0.500,2,2,4,1,1,1,3,0,12,14.000
Willie Green,G,16:09,2,4,0.500,0,1,0.000,0,0,0.000,0,0,0,0,0,0,1,1,4,6.000
Chris Paul,G,28:57,5,10,0.500,0,2,0.000,4,5,0.800,1,3,4,13,5,0,3,1,14,18.000
Lamar Odom,,23:43,2,7,0.286,0,1,0.000,0,0,0.000,3,8,11,2,2,0,2,2,4,8.000
Matt Barnes,,23:04,5,10,0.500,1,4,0.250,0,0,0.000,1,2,3,0,4,0,0,5,11,5.000
Jamal Crawford,,31:05,7,12,0.583,3,6,0.500,3,3,1.000,0,1,1,4,1,0,2,3,20,16.000
Eric Bledsoe,,19:03,4,12,0.333,0,1,0.000,0,0,0.000,1,4,5,5,3,1,3,1,8,4.000
Ronny Turiaf,,16:06,1,2,0.500,0,0,0.000,0,0,0.000,0,3,3,0,0,3,0,0,2,4.000
Ryan Hollins,,4:28,1,4,0.250,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,2.000
