12-13,SAS-UTA,96-99,Team,
28-22,16-31,27-18,25-28,
SAS
Danny Green,F,30:43,5,10,0.500,2,4,0.500,0,0,0.000,0,1,1,0,3,0,3,3,12,-2.000
Tim Duncan,F,33:18,8,17,0.471,0,1,0.000,6,9,0.667,3,18,21,1,1,6,1,1,22,-7.000
DeJuan Blair,C,12:02,0,4,0.000,0,0,0.000,0,0,0.000,1,2,3,0,0,0,1,2,0,0.000
Gary Neal,G,34:15,2,9,0.222,1,5,0.200,0,0,0.000,0,2,2,2,1,1,1,1,5,6.000
Tony Parker,G,35:49,8,18,0.444,0,0,0.000,6,7,0.857,0,2,2,7,0,0,1,0,22,-7.000
Tiago Splitter,,20:15,5,9,0.556,0,0,0.000,0,0,0.000,4,2,6,1,2,1,1,4,10,5.000
Manu Ginobili,,28:02,2,6,0.333,2,3,0.667,2,2,1.000,2,4,6,5,1,0,3,1,8,-8.000
Boris Diaw,,23:27,4,7,0.571,1,3,0.333,0,0,0.000,0,0,0,1,1,2,1,2,9,-10.000
Nando De Colo,,5:57,0,3,0.000,0,1,0.000,0,0,0.000,1,0,1,1,0,0,0,0,0,-4.000
Cory Joseph,,2:60,0,0,0.000,0,0,0.000,0,0,0.000,1,1,2,0,0,0,0,0,0,-2.000
Matt Bonner,,6:58,0,1,0.000,0,0,0.000,0,0,0.000,0,3,3,0,0,0,0,1,0,6.000
Patty Mills,,6:14,3,3,1.000,2,2,1.000,0,0,0.000,1,0,1,0,0,0,0,0,8,8.000
UTA
Marvin Williams,F,19:11,1,5,0.200,0,2,0.000,0,0,0.000,1,1,2,0,0,2,3,1,2,-10.000
Paul Millsap,F,35:58,10,15,0.667,0,0,0.000,4,6,0.667,2,10,12,5,1,1,0,2,24,11.000
Al Jefferson,C,35:28,10,18,0.556,0,0,0.000,1,1,1.000,1,3,4,4,2,1,1,3,21,-1.000
Randy Foye,G,32:11,5,10,0.500,3,6,0.500,0,1,0.000,0,2,2,2,1,0,2,1,13,-1.000
Mo Williams,G,32:02,3,9,0.333,1,4,0.250,1,2,0.500,0,3,3,4,0,0,2,3,8,7.000
Derrick Favors,,12:02,2,4,0.500,0,0,0.000,2,4,0.500,0,2,2,1,1,0,1,1,6,-8.000
Gordon Hayward,,28:49,7,14,0.500,4,6,0.667,1,1,1.000,1,6,7,6,0,1,1,0,19,13.000
Earl Watson,,15:58,0,2,0.000,0,1,0.000,0,0,0.000,0,3,3,5,1,0,1,3,0,-4.000
Enes Kanter,,12:32,3,4,0.750,0,0,0.000,0,0,0.000,1,3,4,0,1,1,2,0,6,4.000
DeMarre Carroll,,15:49,0,3,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,1,2,0,4.000
