12-18,HOU-NYK,109-96,Team,
29-31,27-11,27-18,26-36,
HOU
Marcus Morris,F,29:10,4,7,0.571,2,3,0.667,3,4,0.750,0,3,3,0,0,0,2,1,13,9.000
Chandler Parsons,F,38:20,4,9,0.444,1,4,0.250,0,0,0.000,0,5,5,3,5,0,3,1,9,9.000
Omer Asik,C,24:42,2,5,0.400,0,0,0.000,2,2,1.000,0,2,2,0,2,3,2,3,6,12.000
James Harden,G,37:42,9,18,0.500,2,6,0.333,8,9,0.889,1,9,10,3,2,0,1,3,28,13.000
Jeremy Lin,G,39:01,9,15,0.600,1,6,0.167,3,4,0.750,1,3,4,9,2,0,4,3,22,18.000
Greg Smith,,18:17,3,5,0.600,0,0,0.000,2,4,0.500,3,5,8,0,1,1,1,2,8,8.000
Carlos Delfino,,28:49,6,9,0.667,4,7,0.571,0,0,0.000,0,5,5,0,0,0,2,2,16,-2.000
Toney Douglas,,18:08,3,9,0.333,0,2,0.000,1,1,1.000,1,4,5,2,1,0,2,1,7,7.000
Daequan Cook,,3:04,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,-6.000
Terrence Jones,,2:47,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-3.000
NYK
Ronnie Brewer,F,20:00,1,3,0.333,0,1,0.000,0,2,0.000,1,3,4,1,1,0,2,1,2,5.000
Chris Copeland,F,28:28,11,19,0.579,3,5,0.600,4,4,1.000,2,3,5,0,2,1,2,2,29,-6.000
Tyson Chandler,C,34:44,3,7,0.429,0,0,0.000,2,4,0.500,7,11,18,1,0,1,2,4,8,-14.000
Raymond Felton,G,30:30,7,18,0.389,0,4,0.000,0,0,0.000,1,2,3,4,0,0,3,0,14,-11.000
Jason Kidd,G,28:46,2,9,0.222,1,5,0.200,0,0,0.000,0,4,4,3,2,0,3,3,5,-20.000
J.R. Smith,,19:56,7,13,0.538,2,5,0.400,1,2,0.500,0,3,3,0,0,0,2,3,17,1.000
Steve Novak,,33:14,1,5,0.200,1,5,0.200,0,0,0.000,1,0,1,1,1,0,0,2,3,-9.000
James White,,22:50,2,5,0.400,0,0,0.000,0,0,0.000,0,3,3,0,0,0,2,2,4,-2.000
Kurt Thomas,,4:52,0,1,0.000,0,0,0.000,0,2,0.000,0,1,1,0,0,0,0,0,0,-9.000
Pablo Prigioni,,16:40,5,10,0.500,2,6,0.333,2,2,1.000,1,2,3,5,2,0,1,1,14,0.000
