12-27,PHI-MEM,99-89,Team,
26-29,23-18,26-23,24-19,
PHI
Dorell Wright,F,35:27,8,11,0.727,5,8,0.625,7,8,0.875,0,6,6,1,1,2,0,2,28,10.000
Thaddeus Young,F,37:04,6,10,0.600,0,0,0.000,1,2,0.500,1,1,2,0,3,4,0,0,13,2.000
Lavoy Allen,C,26:40,2,6,0.333,0,0,0.000,2,4,0.500,3,3,6,1,0,0,2,4,6,-8.000
Evan Turner,G,40:43,0,4,0.000,0,0,0.000,1,2,0.500,0,6,6,9,2,1,6,2,1,2.000
Jrue Holiday,G,37:18,5,16,0.313,1,2,0.500,2,2,1.000,1,3,4,9,0,0,5,2,13,6.000
Spencer Hawes,,31:26,9,14,0.643,0,1,0.000,2,4,0.500,3,6,9,1,3,5,3,4,20,24.000
Nick Young,,20:40,5,7,0.714,1,3,0.333,1,1,1.000,0,4,4,2,0,0,0,1,12,10.000
Royal Ivey,,10:42,2,3,0.667,2,2,1.000,0,0,0.000,0,1,1,0,0,0,0,0,6,4.000
MEM
Quincy Pondexter,F,39:21,3,10,0.300,3,7,0.429,4,4,1.000,3,2,5,1,1,0,2,2,13,-5.000
Zach Randolph,F,32:33,10,18,0.556,1,1,1.000,2,2,1.000,5,4,9,0,4,0,2,4,23,-1.000
Marc Gasol,C,38:15,9,15,0.600,0,0,0.000,0,0,0.000,4,4,8,8,1,2,4,0,18,-10.000
Tony Allen,G,27:04,3,8,0.375,0,1,0.000,0,0,0.000,1,2,3,1,0,0,1,3,6,-1.000
Mike Conley,G,35:46,3,17,0.176,1,3,0.333,3,3,1.000,1,2,3,5,3,0,2,1,10,-10.000
Wayne Ellington,,29:35,1,6,0.167,0,1,0.000,0,0,0.000,0,1,1,3,1,0,0,3,2,-14.000
Darrell Arthur,,15:27,3,6,0.500,0,1,0.000,2,2,1.000,0,3,3,1,0,1,1,2,8,-9.000
Marreese Speights,,9:45,2,4,0.500,0,0,0.000,3,6,0.500,1,2,3,1,0,1,0,3,7,0.000
Jerryd Bayless,,12:14,1,6,0.167,0,1,0.000,0,0,0.000,0,2,2,2,0,0,1,0,2,0.000
