01-02,PHI-DEN,114-102,Team,
24-30,44-26,27-25,19-21,
PHI
Evan Turner,F,40:20,8,17,0.471,1,3,0.333,6,8,0.750,0,5,5,6,2,1,1,3,23,11.000
Thaddeus Young,F,40:03,7,17,0.412,1,6,0.167,2,3,0.667,4,6,10,2,2,1,3,2,17,3.000
Spencer Hawes,C,31:41,4,11,0.364,2,4,0.500,3,4,0.750,1,7,8,4,2,1,1,4,13,1.000
Hollis Thompson,G,16:60,5,6,0.833,1,1,1.000,0,0,0.000,3,1,4,0,0,0,0,4,11,8.000
James Anderson,,24:46,4,7,0.571,2,3,0.667,2,2,1.000,0,4,4,0,1,1,3,2,12,1.000
Lavoy Allen,,16:18,6,9,0.667,1,1,1.000,0,0,0.000,0,5,5,3,0,0,1,3,13,11.000
Tony Wroten,,19:42,3,6,0.500,1,3,0.333,0,3,0.000,1,4,5,1,1,0,2,1,7,14.000
Elliot Williams,,7:39,0,2,0.000,0,2,0.000,0,0,0.000,1,1,2,0,0,0,1,1,0,1.000
Brandon Davies,,7:56,1,2,0.500,0,0,0.000,0,0,0.000,1,0,1,1,0,1,0,1,2,9.000
DEN
Wilson Chandler,F,31:24,5,13,0.385,4,7,0.571,2,2,1.000,1,6,7,2,3,1,0,6,16,1.000
Kenneth Faried,F,21:58,6,9,0.667,0,0,0.000,0,3,0.000,4,2,6,1,1,1,0,2,12,2.000
JJ Hickson,C,32:06,7,14,0.500,0,0,0.000,5,9,0.556,4,7,11,0,1,2,1,4,19,-5.000
Randy Foye,G,36:36,6,17,0.353,0,6,0.000,2,2,1.000,1,3,4,6,0,0,4,2,14,-11.000
Ty Lawson,G,40:46,4,13,0.308,1,5,0.200,6,7,0.857,1,5,6,11,1,1,4,2,15,-1.000
Quincy Miller,,5:56,1,5,0.200,0,1,0.000,0,0,0.000,2,0,2,0,0,0,0,1,2,-7.000
Timofey Mozgov,,10:11,1,2,0.500,0,0,0.000,2,2,1.000,0,2,2,1,0,0,1,2,4,-3.000
Nate Robinson,,13:08,0,3,0.000,0,1,0.000,0,0,0.000,0,2,2,0,0,0,0,0,0,-9.000
Evan Fournier,,14:24,3,6,0.500,0,3,0.000,1,2,0.500,0,2,2,1,0,0,2,5,7,-6.000
Darrell Arthur,,22:14,2,6,0.333,0,1,0.000,4,4,1.000,2,3,5,0,1,1,1,4,8,-15.000
Anthony Randolph,,7:32,0,1,0.000,0,0,0.000,3,4,0.750,0,1,1,1,0,1,0,0,3,-4.000
Jordan Hamilton,,3:42,1,2,0.500,0,1,0.000,0,0,0.000,0,0,0,0,0,1,1,0,2,-2.000
