01-05,CHA-SAC,113-103,Team,
32-27,33-25,24-30,24-21,
CHA
Josh McRoberts,F,36:41,2,6,0.333,1,2,0.500,0,0,0.000,3,8,11,4,1,1,2,2,5,9.000
Al Jefferson,C,38:31,11,21,0.524,0,0,0.000,5,7,0.714,1,8,9,2,2,1,2,4,27,3.000
Gerald Henderson,G,34:49,7,13,0.538,1,2,0.500,1,2,0.500,0,3,3,3,1,0,0,2,16,5.000
Kemba Walker,G,35:33,12,19,0.632,4,6,0.667,2,3,0.667,0,4,4,6,1,0,2,1,30,21.000
Ramon Sessions,,22:15,5,9,0.556,0,0,0.000,2,4,0.500,1,1,2,3,0,0,2,0,12,3.000
Cody Zeller,,11:19,2,2,1.000,0,0,0.000,2,3,0.667,1,1,2,2,0,0,1,2,6,1.000
Anthony Tolliver,,15:58,2,3,0.667,2,2,1.000,0,0,0.000,0,2,2,0,0,1,0,1,6,-3.000
Bismack Biyombo,,9:29,0,1,0.000,0,0,0.000,1,2,0.500,0,1,1,0,0,0,1,6,1,7.000
SAC
Rudy Gay,F,40:54,8,14,0.571,0,0,0.000,1,2,0.500,4,6,10,4,0,0,4,2,17,-3.000
Jason Thompson,F,31:23,7,9,0.778,0,0,0.000,1,2,0.500,4,10,14,0,0,0,2,4,15,0.000
DeMarcus Cousins,C,38:03,8,23,0.348,0,2,0.000,10,14,0.714,5,6,11,2,4,0,2,4,26,-10.000
Ben McLemore,G,21:39,2,8,0.250,1,4,0.250,0,0,0.000,1,2,3,0,0,1,1,1,5,6.000
Isaiah Thomas,G,34:45,9,17,0.529,2,5,0.400,1,1,1.000,1,2,3,8,1,1,3,5,21,-5.000
Derrick Williams,,17:49,2,4,0.500,1,1,1.000,0,0,0.000,1,1,2,0,2,1,0,2,5,-11.000
Quincy Acy,,14:36,0,0,0.000,0,0,0.000,0,0,0.000,0,3,3,1,0,2,1,2,0,-4.000
Marcus Thornton,,26:21,5,10,0.500,2,3,0.667,0,0,0.000,1,3,4,0,1,0,1,1,12,-16.000
Jimmer Fredette,,13:15,1,7,0.143,0,2,0.000,0,0,0.000,0,2,2,2,0,0,0,1,2,-5.000
Aaron Gray,,1:15,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-2.000
