01-15,NYK-CHA,98-108,Team,
24-27,22-28,27-23,25-30,
NYK
Carmelo Anthony,F,38:25,9,22,0.409,0,4,0.000,2,2,1.000,0,6,6,3,0,1,2,1,20,-20.000
Andrea Bargnani,F,22:28,3,4,0.750,1,1,1.000,1,2,0.500,0,1,1,1,0,2,0,1,8,-21.000
Tyson Chandler,C,16:25,2,2,1.000,0,0,0.000,1,1,1.000,0,4,4,0,0,1,2,2,5,-7.000
Raymond Felton,G,29:16,5,12,0.417,1,1,1.000,2,2,1.000,0,2,2,3,1,1,1,6,13,-21.000
Iman Shumpert,G,32:44,2,5,0.400,1,4,0.250,0,1,0.000,0,3,3,3,1,1,1,5,5,5.000
Kenyon Martin,,27:41,3,6,0.500,0,0,0.000,0,0,0.000,1,5,6,1,0,1,0,5,6,-7.000
Tim Hardaway Jr.,,26:43,4,10,0.400,2,6,0.333,2,3,0.667,1,0,1,1,1,0,0,0,12,-6.000
Toure Murry,,8:16,0,3,0.000,0,0,0.000,0,0,0.000,0,1,1,2,0,0,0,0,0,13.000
Beno Udrih,,12:43,2,3,0.667,1,1,1.000,1,2,0.500,1,1,2,5,1,1,1,0,6,3.000
Jeremy Tyler,,2:15,3,4,0.750,0,0,0.000,0,0,0.000,1,1,2,0,0,0,0,0,6,5.000
Cole Aldrich,,0:49,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,2.000
CHA
Josh McRoberts,F,32:31,0,4,0.000,0,1,0.000,4,6,0.667,0,6,6,3,0,0,0,2,4,1.000
Al Jefferson,C,38:36,14,20,0.700,0,0,0.000,7,8,0.875,2,6,8,2,1,1,1,3,35,19.000
Gerald Henderson,G,35:35,6,13,0.462,1,3,0.333,4,4,1.000,0,3,3,3,0,0,1,1,17,6.000
Kemba Walker,G,39:41,9,15,0.600,2,5,0.400,5,7,0.714,1,6,7,5,1,1,3,2,25,18.000
Anthony Tolliver,,17:45,3,3,1.000,3,3,1.000,0,0,0.000,0,1,1,0,0,0,0,2,9,7.000
Cody Zeller,,15:29,1,2,0.500,0,1,0.000,0,0,0.000,0,4,4,1,0,0,0,5,2,9.000
Ramon Sessions,,19:06,1,4,0.250,0,0,0.000,4,4,1.000,1,0,1,5,0,0,0,1,6,0.000
Bismack Biyombo,,8:35,1,2,0.500,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,-7.000
Jeff Adrien,,0:49,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
Jannero Pargo,,0:49,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
