01-16,MIA-WAS,97-114,Team,
18-43,30-26,29-17,20-28,
MIA
LeBron James,F,41:04,8,18,0.444,0,4,0.000,9,10,0.900,2,6,8,7,2,0,4,1,25,-15.000
Shane Battier,F,19:19,1,5,0.200,1,4,0.250,0,0,0.000,1,1,2,0,0,1,0,3,3,4.000
Chris Bosh,C,35:54,10,19,0.526,3,6,0.500,3,3,1.000,3,4,7,2,1,0,0,2,26,-3.000
Dwyane Wade,G,32:52,4,11,0.364,0,0,0.000,0,0,0.000,1,5,6,5,0,0,3,0,8,-15.000
Norris Cole,G,39:35,6,13,0.462,1,5,0.200,2,2,1.000,0,2,2,7,3,0,2,4,15,-8.000
Udonis Haslem,,20:44,1,2,0.500,0,0,0.000,0,0,0.000,0,6,6,0,0,0,0,3,2,-21.000
Ray Allen,,25:15,0,5,0.000,0,4,0.000,0,0,0.000,0,1,1,1,0,0,2,3,0,-13.000
Michael Beasley,,6:54,3,6,0.500,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,2,6,-11.000
Roger Mason Jr.,,6:45,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-5.000
Greg Oden,,8:24,2,3,0.667,0,0,0.000,2,2,1.000,1,1,2,0,0,0,0,1,6,3.000
James Jones,,2:20,2,2,1.000,2,2,1.000,0,0,0.000,0,0,0,0,0,0,0,0,6,-1.000
Rashard Lewis,,0:54,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
WAS
Trevor Ariza,F,35:27,4,7,0.571,2,4,0.500,0,0,0.000,0,4,4,5,2,0,2,0,10,11.000
Nene,F,34:22,6,15,0.400,0,0,0.000,7,9,0.778,0,4,4,9,2,2,1,3,19,18.000
Marcin Gortat,C,31:03,6,11,0.545,0,0,0.000,0,0,0.000,3,6,9,0,0,3,1,2,12,7.000
Bradley Beal,G,28:37,7,13,0.538,2,5,0.400,3,3,1.000,0,5,5,4,0,0,0,3,19,16.000
John Wall,G,36:55,7,14,0.500,3,6,0.500,8,8,1.000,0,5,5,9,0,2,4,4,25,11.000
Trevor Booker,,28:35,5,5,1.000,0,0,0.000,3,4,0.750,4,7,11,2,1,0,0,1,13,9.000
Martell Webster,,31:14,4,8,0.500,3,7,0.429,0,0,0.000,0,2,2,0,1,0,3,4,11,7.000
Garrett Temple,,11:05,1,1,1.000,0,0,0.000,1,2,0.500,0,1,1,1,1,0,1,2,3,6.000
Kevin Seraphin,,0:54,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
Chris Singleton,,0:54,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,0.000
Otto Porter,,0:54,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
