01-25,LAL-ORL,105-114,Team,
32-28,23-25,25-38,25-23,
LAL
Wesley Johnson,F,18:38,2,7,0.286,1,3,0.333,0,0,0.000,0,3,3,2,0,0,0,3,5,6.000
Ryan Kelly,F,30:02,5,8,0.625,2,3,0.667,3,3,1.000,0,3,3,2,0,1,0,4,15,-6.000
Pau Gasol,C,34:55,8,17,0.471,0,0,0.000,5,7,0.714,1,10,11,6,1,2,3,2,21,5.000
Jodie Meeks,G,36:35,7,12,0.583,3,5,0.600,0,1,0.000,0,3,3,1,2,0,2,1,17,-1.000
Kendall Marshall,G,38:15,7,14,0.500,5,7,0.714,0,0,0.000,0,3,3,14,1,0,1,3,19,-1.000
Manny Harris,,21:10,3,8,0.375,0,1,0.000,0,0,0.000,1,2,3,2,0,0,1,0,6,-16.000
Nick Young,,30:02,6,16,0.375,1,3,0.333,3,6,0.500,1,3,4,1,1,0,2,0,16,-12.000
Jordan Hill,,19:39,3,7,0.429,0,0,0.000,0,0,0.000,4,6,10,0,0,1,1,3,6,-15.000
Robert Sacre,,10:44,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,1,1,1,4,0,-5.000
ORL
Arron Afflalo,F,33:29,7,12,0.583,2,3,0.667,7,9,0.778,0,2,2,6,1,0,2,1,23,4.000
Tobias Harris,F,42:43,9,15,0.600,1,1,1.000,9,11,0.818,1,19,20,4,1,0,5,3,28,3.000
Glen Davis,C,23:46,3,10,0.300,0,0,0.000,0,0,0.000,1,2,3,2,0,0,1,4,6,6.000
Victor Oladipo,G,38:36,5,14,0.357,1,3,0.333,4,6,0.667,3,9,12,5,2,1,3,3,15,10.000
Jameer Nelson,G,31:19,7,11,0.636,4,6,0.667,4,4,1.000,1,3,4,6,1,0,2,3,22,1.000
Andrew Nicholson,,3:28,0,0,0.000,0,0,0.000,0,0,0.000,1,1,2,0,0,0,0,0,0,0.000
Doron Lamb,,14:31,2,6,0.333,1,3,0.333,0,0,0.000,0,1,1,0,1,0,0,0,5,5.000
Maurice Harkless,,18:55,1,2,0.500,0,1,0.000,2,2,1.000,0,0,0,0,4,0,0,1,4,0.000
