01-30,ORL-TOR,83-98,Team,
20-33,20-22,25-25,18-18,
ORL
Arron Afflalo,F,34:56,4,11,0.364,0,1,0.000,2,2,1.000,0,1,1,3,1,0,1,3,10,-12.000
Glen Davis,F,31:27,1,4,0.250,0,0,0.000,3,5,0.600,1,3,4,4,1,0,0,0,5,-7.000
Nikola Vucevic,C,20:29,6,12,0.500,0,0,0.000,4,4,1.000,5,5,10,0,2,0,0,2,16,-8.000
Victor Oladipo,G,38:37,3,14,0.214,1,4,0.250,5,8,0.625,0,2,2,3,1,0,3,3,12,-17.000
Jameer Nelson,G,38:46,5,15,0.333,3,6,0.500,0,0,0.000,0,2,2,4,1,0,0,2,13,-15.000
Tobias Harris,,27:09,2,8,0.250,0,2,0.000,5,5,1.000,3,8,11,3,1,1,2,1,9,-12.000
Maurice Harkless,,12:00,1,6,0.167,1,4,0.250,0,0,0.000,0,2,2,0,1,0,0,1,3,-2.000
Andrew Nicholson,,3:17,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,1.000
TOR
Terrence Ross,F,36:56,4,13,0.308,2,6,0.333,2,2,1.000,0,8,8,4,0,2,2,0,12,14.000
Amir Johnson,F,35:18,10,20,0.500,1,2,0.500,1,2,0.500,2,9,11,3,2,0,1,4,22,22.000
Jonas Valanciunas,C,31:45,6,11,0.545,0,0,0.000,2,2,1.000,5,10,15,0,0,1,1,3,14,14.000
Greivis Vasquez,G,37:28,2,7,0.286,2,6,0.333,0,0,0.000,0,1,1,6,0,0,3,3,6,10.000
Kyle Lowry,G,37:27,11,20,0.550,6,11,0.545,5,7,0.714,3,4,7,11,0,0,4,3,33,19.000
John Salmons,,22:33,1,6,0.167,1,2,0.500,0,0,0.000,0,1,1,0,1,0,2,3,3,5.000
Charles Hayes,,12:19,1,6,0.167,0,0,0.000,0,0,0.000,3,4,7,1,0,0,0,1,2,7.000
Steve Novak,,13:06,2,3,0.667,2,3,0.667,0,0,0.000,0,0,0,1,0,0,0,1,6,-6.000
Julyan Stone,,7:24,0,1,0.000,0,1,0.000,0,0,0.000,0,3,3,0,1,0,0,1,0,-2.000
Tyler Hansbrough,,5:44,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,1,0,1,1,0,-8.000
