02-10,MEM-CLE,83-91,Team,
18-22,15-20,25-17,20-19,5-13,
MEM
Tayshaun Prince,F,24:59,3,6,0.500,1,1,1.000,0,0,0.000,0,3,3,0,1,0,0,0,7,5.000
Zach Randolph,F,31:57,6,12,0.500,0,0,0.000,2,3,0.667,1,5,6,2,0,0,3,4,14,1.000
Marc Gasol,C,34:41,2,9,0.222,0,0,0.000,2,2,1.000,1,7,8,4,3,4,1,2,6,8.000
Courtney Lee,G,37:06,4,14,0.286,0,3,0.000,2,2,1.000,0,3,3,3,2,0,0,0,10,16.000
Nick Calathes,G,34:12,6,7,0.857,1,1,1.000,1,2,0.500,0,5,5,6,1,0,5,4,14,9.000
Kosta Koufos,,13:12,3,5,0.600,0,0,0.000,0,0,0.000,2,3,5,0,0,1,1,4,6,-10.000
Darius Morris,,14:15,2,4,0.500,0,1,0.000,0,0,0.000,2,1,3,3,0,0,0,0,4,-6.000
James Johnson,,20:00,4,12,0.333,0,2,0.000,7,7,1.000,1,2,3,1,0,0,1,1,15,-6.000
Mike Miller,,19:01,0,4,0.000,0,2,0.000,0,0,0.000,0,2,2,2,0,0,0,1,0,-6.000
Ed Davis,,10:37,1,4,0.250,0,0,0.000,0,0,0.000,1,3,4,0,0,1,0,1,2,-11.000
CLE
Luol Deng,F,27:14,3,8,0.375,0,1,0.000,0,0,0.000,1,4,5,0,0,0,0,1,6,-13.000
Tristan Thompson,F,24:09,2,8,0.250,0,0,0.000,0,2,0.000,0,2,2,2,1,1,0,5,4,-7.000
Anderson Varejao,C,38:23,1,4,0.250,0,0,0.000,0,0,0.000,2,10,12,5,0,1,1,1,2,-7.000
Kyrie Irving,G,35:22,9,17,0.529,4,4,1.000,2,4,0.500,1,3,4,5,0,1,5,3,24,-12.000
Jarrett Jack,G,14:43,1,4,0.250,0,1,0.000,0,0,0.000,0,3,3,1,0,0,1,0,2,-10.000
Anthony Bennett,,6:04,1,4,0.250,0,0,0.000,0,0,0.000,1,1,2,1,0,0,1,2,2,6.000
Dion Waiters,,33:17,5,18,0.278,1,5,0.200,3,3,1.000,2,4,6,5,2,0,2,1,14,10.000
CJ Miles,,23:48,5,11,0.455,3,7,0.429,1,1,1.000,0,1,1,0,1,1,2,2,14,4.000
Tyler Zeller,,24:22,2,6,0.333,0,0,0.000,1,2,0.500,3,5,8,0,0,0,0,5,5,17.000
Matthew Dellavedova,,12:38,2,2,1.000,1,1,1.000,0,0,0.000,0,0,0,3,0,1,0,0,5,12.000
