02-11,NOP-TOR,101-108,Team,
20-31,29-18,21-33,31-26,
NOP
Anthony Davis,F,35:11,7,14,0.500,0,0,0.000,5,7,0.714,2,5,7,1,3,0,2,5,19,-4.000
Alexis Ajinca,C,9:17,1,3,0.333,0,0,0.000,0,0,0.000,1,0,1,0,0,0,1,1,2,-16.000
Eric Gordon,G,26:24,5,12,0.417,0,1,0.000,0,0,0.000,0,0,0,2,0,1,1,1,10,-13.000
Brian Roberts,G,27:46,7,14,0.500,3,4,0.750,1,1,1.000,0,3,3,2,2,0,2,1,18,-17.000
Greg Stiemsma,,15:13,1,2,0.500,0,0,0.000,0,0,0.000,2,2,4,2,0,0,1,4,2,-6.000
Tyreke Evans,,32:12,10,14,0.714,0,1,0.000,3,6,0.500,1,4,5,10,3,0,2,2,23,12.000
Austin Rivers,,20:14,1,3,0.333,0,0,0.000,5,8,0.625,0,4,4,4,0,0,2,4,7,10.000
Anthony Morrow,,21:36,3,6,0.500,1,1,1.000,1,1,1.000,0,2,2,0,0,0,1,2,8,6.000
Jeff Withey,,13:16,1,2,0.500,0,0,0.000,1,1,1.000,1,1,2,0,0,0,0,1,3,-4.000
Luke Babbitt,,19:36,2,4,0.500,2,4,0.500,0,0,0.000,0,3,3,0,0,3,1,4,6,21.000
TOR
Terrence Ross,F,34:45,5,8,0.625,4,5,0.800,0,0,0.000,1,3,4,0,0,1,1,0,14,19.000
Patrick Patterson,F,32:52,7,11,0.636,3,5,0.600,5,6,0.833,1,5,6,2,0,0,1,4,22,19.000
Jonas Valanciunas,C,29:58,3,7,0.429,0,0,0.000,3,4,0.750,1,7,8,0,0,1,1,5,9,17.000
DeMar DeRozan,G,40:21,7,21,0.333,1,5,0.200,7,10,0.700,0,2,2,4,1,0,3,2,22,4.000
Kyle Lowry,G,38:48,8,13,0.615,1,4,0.250,2,2,1.000,5,2,7,12,2,0,2,2,19,19.000
Tyler Hansbrough,,14:34,4,6,0.667,0,0,0.000,4,6,0.667,0,6,6,0,0,0,1,0,12,8.000
John Salmons,,16:51,0,3,0.000,0,1,0.000,4,4,1.000,1,0,1,2,1,0,0,2,4,-9.000
Greivis Vasquez,,13:15,1,4,0.250,0,2,0.000,1,1,1.000,0,0,0,2,0,0,2,2,3,-12.000
Steve Novak,,11:44,1,2,0.500,1,2,0.500,0,0,0.000,0,2,2,0,0,1,0,2,3,-14.000
Charles Hayes,,6:52,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,2,0,0,1,0,-16.000
