02-14,OKC-LAL,107-103,Team,
17-24,28-30,27-28,35-21,
OKC
Kevin Durant,F,41:58,14,33,0.424,3,13,0.231,12,12,1.000,0,12,12,7,3,0,6,2,43,3.000
Serge Ibaka,F,35:52,4,9,0.444,0,0,0.000,2,2,1.000,2,5,7,2,0,5,0,3,10,0.000
Kendrick Perkins,C,17:18,2,3,0.667,0,0,0.000,0,0,0.000,1,1,2,0,0,2,1,4,4,-9.000
Thabo Sefolosha,G,29:10,3,4,0.750,1,2,0.500,0,0,0.000,1,3,4,3,3,0,1,1,7,-4.000
Reggie Jackson,G,29:37,7,15,0.467,0,2,0.000,2,2,1.000,1,4,5,3,0,0,3,0,16,-10.000
Derek Fisher,,21:57,4,9,0.444,2,7,0.286,2,2,1.000,0,4,4,2,3,0,0,1,12,19.000
Jeremy Lamb,,22:07,3,10,0.300,2,4,0.500,3,4,0.750,0,1,1,3,4,1,0,6,11,3.000
Steven Adams,,7:57,0,0,0.000,0,0,0.000,0,2,0.000,1,1,2,0,0,0,0,0,0,-6.000
Nick Collison,,15:37,0,1,0.000,0,0,0.000,0,0,0.000,2,2,4,3,1,0,1,2,0,14.000
Perry Jones,,5:01,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-3.000
Andre Roberson,,13:26,2,4,0.500,0,0,0.000,0,0,0.000,1,2,3,0,0,0,2,4,4,13.000
LAL
Wesley Johnson,F,41:58,8,13,0.615,1,2,0.500,2,4,0.500,0,0,0,0,1,0,3,5,19,-3.000
Shawne Williams,F,35:07,6,16,0.375,3,8,0.375,0,0,0.000,3,6,9,0,1,2,1,2,15,4.000
Chris Kaman,C,35:03,7,13,0.538,0,0,0.000,5,7,0.714,3,7,10,6,0,1,2,2,19,-4.000
Steve Blake,G,37:34,4,10,0.400,3,8,0.375,2,3,0.667,0,6,6,2,2,0,4,2,13,1.000
Kendall Marshall,G,43:52,6,13,0.462,2,7,0.286,0,1,0.000,0,7,7,17,1,0,3,1,14,-5.000
Ryan Kelly,,16:15,2,6,0.333,1,3,0.333,2,5,0.400,0,2,2,2,0,1,2,2,7,-4.000
Robert Sacre,,11:16,3,4,0.750,0,0,0.000,0,0,0.000,1,3,4,2,1,0,4,3,6,0.000
Jordan Hill,,18:55,4,8,0.500,0,0,0.000,2,2,1.000,0,4,4,0,0,0,3,1,10,-9.000
