02-19,NYK-MEM,93-98,Team,
17-22,20-28,27-16,29-32,
NYK
Iman Shumpert,F,20:01,3,9,0.333,0,5,0.000,0,0,0.000,0,2,2,0,0,0,0,2,6,2.000
Carmelo Anthony,F,42:10,8,22,0.364,1,5,0.200,5,8,0.625,4,7,11,2,2,0,1,2,22,5.000
Tyson Chandler,C,26:04,4,5,0.800,0,0,0.000,1,1,1.000,2,4,6,1,1,2,2,6,9,-2.000
Pablo Prigioni,G,30:03,3,5,0.600,1,3,0.333,0,0,0.000,3,2,5,10,1,0,2,4,7,2.000
Raymond Felton,G,29:26,2,7,0.286,0,3,0.000,2,2,1.000,0,3,3,1,2,1,1,1,6,1.000
J.R. Smith,,34:49,2,8,0.250,0,2,0.000,0,0,0.000,1,4,5,1,0,0,1,0,4,-8.000
Jeremy Tyler,,9:36,2,3,0.667,0,0,0.000,0,0,0.000,0,0,0,0,0,1,2,2,4,-7.000
Tim Hardaway Jr.,,24:27,7,15,0.467,4,9,0.444,5,5,1.000,1,0,1,0,1,0,1,3,23,-13.000
MEM
Tayshaun Prince,F,39:09,5,8,0.625,0,1,0.000,0,2,0.000,1,3,4,0,0,1,1,1,10,5.000
Zach Randolph,F,34:16,6,11,0.545,0,0,0.000,1,2,0.500,2,6,8,3,0,0,3,4,13,-2.000
Marc Gasol,C,25:48,4,7,0.571,0,0,0.000,0,0,0.000,3,4,7,4,0,2,1,4,8,-3.000
Courtney Lee,G,37:17,2,8,0.250,0,1,0.000,2,2,1.000,0,2,2,4,2,1,0,1,6,0.000
Mike Conley,G,31:28,6,15,0.400,0,2,0.000,10,12,0.833,1,4,5,3,1,1,4,1,22,3.000
Nick Calathes,,18:55,4,7,0.571,1,1,1.000,2,2,1.000,0,3,3,5,1,0,1,2,11,7.000
Ed Davis,,7:12,1,2,0.500,0,0,0.000,0,0,0.000,1,2,3,0,0,0,1,3,2,3.000
Kosta Koufos,,13:34,2,4,0.500,0,0,0.000,0,0,0.000,1,1,2,0,0,2,0,1,4,4.000
Mike Miller,,20:21,7,11,0.636,5,7,0.714,0,0,0.000,0,1,1,1,1,0,0,0,19,7.000
James Johnson,,12:00,0,2,0.000,0,0,0.000,3,4,0.750,1,2,3,0,0,0,2,5,3,1.000
