03-02,NOP-LAC,76-108,Team,
17-30,19-21,20-28,20-29,
NOP
Tyreke Evans,F,39:47,9,19,0.474,2,6,0.333,2,2,1.000,3,6,9,5,1,0,4,3,22,-19.000
Anthony Davis,F,20:19,1,6,0.167,0,0,0.000,6,6,1.000,1,3,4,0,0,2,3,4,8,-27.000
Alexis Ajinca,C,28:38,4,6,0.667,0,0,0.000,3,4,0.750,4,6,10,1,1,2,1,6,11,-40.000
Eric Gordon,G,32:12,1,13,0.077,0,3,0.000,0,0,0.000,2,2,4,4,1,0,3,1,2,-45.000
Brian Roberts,G,22:25,1,8,0.125,0,3,0.000,2,2,1.000,0,1,1,2,0,0,2,1,4,-22.000
Jeff Withey,,8:59,0,3,0.000,0,0,0.000,0,0,0.000,0,4,4,0,0,1,0,4,0,-11.000
Greg Stiemsma,,30:28,5,7,0.714,0,0,0.000,0,0,0.000,0,7,7,0,0,1,0,4,10,5.000
Austin Rivers,,29:58,7,14,0.500,1,5,0.200,4,5,0.800,1,0,1,1,1,0,4,5,19,-10.000
Luke Babbitt,,11:18,0,5,0.000,0,3,0.000,0,0,0.000,0,4,4,0,0,0,0,0,0,7.000
Darius Miller,,15:57,0,4,0.000,0,2,0.000,0,0,0.000,0,0,0,0,0,0,3,1,0,2.000
LAC
Matt Barnes,F,24:08,5,9,0.556,4,8,0.500,0,0,0.000,0,6,6,4,2,1,2,3,14,27.000
Blake Griffin,F,31:40,8,17,0.471,0,0,0.000,4,6,0.667,0,5,5,1,0,1,3,1,20,29.000
DeAndre Jordan,C,27:30,1,4,0.250,0,0,0.000,5,8,0.625,2,10,12,2,0,4,1,3,7,27.000
Darren Collison,G,26:55,5,10,0.500,2,3,0.667,3,3,1.000,0,1,1,3,1,0,0,3,15,20.000
Chris Paul,G,30:05,7,11,0.636,0,2,0.000,7,7,1.000,1,2,3,8,2,0,2,0,21,30.000
Willie Green,,28:44,2,6,0.333,1,3,0.333,0,0,0.000,0,3,3,1,2,0,0,2,5,5.000
Jared Dudley,,23:52,1,5,0.200,0,3,0.000,0,2,0.000,1,3,4,3,1,0,0,0,2,5.000
Hedo Turkoglu,,14:43,1,4,0.250,0,1,0.000,0,0,0.000,1,2,3,2,0,2,1,3,2,7.000
Glen Davis,,13:37,1,4,0.250,0,1,0.000,3,4,0.750,1,2,3,1,1,0,2,4,5,-10.000
Reggie Bullock,,10:17,4,8,0.500,2,4,0.500,1,2,0.500,1,2,3,0,0,0,0,1,11,9.000
Ryan Hollins,,8:30,3,3,1.000,0,0,0.000,0,0,0.000,2,0,2,0,0,1,0,2,6,11.000
