03-03,ATL-PHX,120-129,Team,
37-40,28-39,30-23,25-27,
ATL
DeMarre Carroll,F,37:43,2,5,0.400,2,4,0.500,4,6,0.667,2,4,6,3,3,0,2,3,10,-2.000
Mike Scott,F,39:39,8,18,0.444,3,9,0.333,1,3,0.333,0,5,5,2,3,0,0,3,20,-10.000
Elton Brand,C,30:41,4,6,0.667,0,0,0.000,5,6,0.833,3,3,6,4,1,2,1,4,13,2.000
Kyle Korver,G,37:03,6,10,0.600,6,7,0.857,0,0,0.000,1,3,4,3,1,1,1,3,18,16.000
Jeff Teague,G,31:19,14,21,0.667,0,2,0.000,1,3,0.333,0,6,6,9,2,1,3,5,29,-5.000
Lou Williams,,25:12,3,7,0.429,2,6,0.333,7,8,0.875,0,0,0,3,0,0,2,0,15,-22.000
Mike Muscala,,19:05,2,6,0.333,0,1,0.000,0,0,0.000,1,4,5,0,0,2,1,2,4,-12.000
Dennis Schroder,,1:50,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-4.000
Shelvin Mack,,17:28,5,11,0.455,1,2,0.500,0,0,0.000,0,1,1,0,1,0,1,0,11,-8.000
PHX
PJ Tucker,F,34:28,4,7,0.571,2,3,0.667,0,0,0.000,1,1,2,6,1,0,2,2,10,10.000
Channing Frye,F,20:46,4,7,0.571,1,2,0.500,0,0,0.000,2,2,4,2,1,0,0,3,9,1.000
Miles Plumlee,C,11:45,1,3,0.333,0,0,0.000,0,0,0.000,1,3,4,0,1,0,1,2,2,-6.000
Gerald Green,G,30:27,9,14,0.643,5,8,0.625,10,10,1.000,1,2,3,1,0,1,2,2,33,3.000
Goran Dragic,G,33:25,6,13,0.462,2,5,0.400,5,8,0.625,1,4,5,8,0,2,2,3,19,-4.000
Ish Smith,,26:13,3,5,0.600,0,0,0.000,2,2,1.000,0,3,3,7,3,1,1,1,8,12.000
Markieff Morris,,31:35,5,8,0.625,2,2,1.000,9,10,0.900,0,8,8,3,1,0,4,2,21,16.000
Marcus Morris,,27:27,8,14,0.571,2,3,0.667,0,0,0.000,1,8,9,0,1,1,3,4,18,0.000
Shavlik Randolph,,10:14,1,3,0.333,0,0,0.000,0,0,0.000,0,2,2,0,1,0,0,1,2,10.000
Archie Goodwin,,1:01,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,2.000
Leandro Barbosa,,12:39,3,6,0.500,1,1,1.000,0,0,0.000,0,1,1,2,0,0,0,1,7,1.000
