03-10,POR-HOU,113-118,Team,
30-28,24-19,31-26,21-33,7-12,
POR
Nicolas Batum,F,38:26,4,9,0.444,0,2,0.000,0,0,0.000,4,7,11,5,1,2,7,3,8,-2.000
LaMarcus Aldridge,F,37:06,9,25,0.360,1,1,1.000,7,10,0.700,3,6,9,0,0,1,0,3,26,3.000
Robin Lopez,C,33:16,4,5,0.800,0,0,0.000,3,4,0.750,2,7,9,0,0,5,1,5,11,12.000
Wesley Matthews,G,36:09,5,12,0.417,4,8,0.500,10,11,0.909,2,2,4,2,2,1,0,3,24,-2.000
Damian Lillard,G,31:43,6,12,0.500,2,4,0.500,4,4,1.000,0,4,4,4,2,0,6,5,18,-5.000
Meyers Leonard,,8:03,1,1,1.000,0,0,0.000,0,0,0.000,1,2,3,0,0,0,0,2,2,-4.000
Thomas Robinson,,11:21,0,0,0.000,0,0,0.000,0,2,0.000,4,0,4,0,0,0,1,3,0,-6.000
Mo Williams,,29:33,5,14,0.357,0,1,0.000,0,0,0.000,1,1,2,10,1,0,2,4,10,-5.000
CJ McCollum,,14:23,3,7,0.429,1,2,0.500,0,0,0.000,0,3,3,1,0,0,1,1,7,9.000
HOU
Chandler Parsons,F,43:59,6,12,0.500,0,2,0.000,2,2,1.000,1,4,5,3,2,1,1,5,14,4.000
Terrence Jones,F,19:40,1,2,0.500,0,1,0.000,0,0,0.000,0,4,4,1,0,0,1,2,2,-20.000
Dwight Howard,C,33:43,5,10,0.500,0,0,0.000,6,11,0.545,2,7,9,1,1,3,4,2,16,-5.000
James Harden,G,42:12,11,25,0.440,6,11,0.545,10,11,0.909,2,7,9,5,5,1,4,5,38,4.000
Patrick Beverley,G,34:22,4,8,0.500,0,3,0.000,4,7,0.571,1,1,2,0,4,0,0,5,12,0.000
Omer Asik,,16:12,0,0,0.000,0,0,0.000,0,0,0.000,1,2,3,1,0,0,0,2,0,4.000
Donatas Motiejunas,,8:03,0,1,0.000,0,0,0.000,0,0,0.000,0,3,3,0,0,0,1,1,0,4.000
Jeremy Lin,,29:03,5,14,0.357,2,6,0.333,8,10,0.800,0,2,2,1,2,0,0,1,20,16.000
Jordan Hamilton,,12:46,2,7,0.286,0,3,0.000,0,0,0.000,2,1,3,0,0,0,1,1,4,-7.000
