03-17,UTA-SAS,104-122,Team,
23-26,30-35,23-30,28-31,
UTA
Richard Jefferson,F,28:58,3,9,0.333,2,3,0.667,0,0,0.000,0,2,2,0,0,1,0,4,8,-7.000
Enes Kanter,F,21:59,3,11,0.273,0,0,0.000,2,3,0.667,6,5,11,0,0,0,1,3,8,-12.000
Derrick Favors,C,32:33,12,19,0.632,0,0,0.000,4,5,0.800,3,7,10,1,3,0,0,4,28,-5.000
Gordon Hayward,G,34:50,7,13,0.538,0,1,0.000,3,4,0.750,0,6,6,6,0,0,6,1,17,-11.000
Trey Burke,G,29:49,6,12,0.500,1,2,0.500,0,0,0.000,0,0,0,5,2,0,0,0,13,-5.000
Marvin Williams,,26:23,3,7,0.429,1,3,0.333,1,1,1.000,2,2,4,2,0,1,0,2,8,-12.000
Alec Burks,,26:52,5,11,0.455,0,1,0.000,2,4,0.500,0,1,1,1,2,0,1,2,12,-18.000
Jeremy Evans,,9:45,2,2,1.000,0,0,0.000,0,0,0.000,1,1,2,1,1,0,0,2,4,-7.000
Diante Garrett,,18:11,0,3,0.000,0,0,0.000,2,2,1.000,0,2,2,2,0,0,0,0,2,-13.000
Brandon Rush,,2:40,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,0.000
Rudy Gobert,,2:40,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,1,0,0,0,0.000
Ian Clark,,2:40,1,2,0.500,1,1,1.000,0,0,0.000,0,0,0,0,0,0,0,0,3,0.000
John Lucas III,,2:40,0,1,0.000,0,0,0.000,1,2,0.500,1,0,1,0,0,0,0,0,1,0.000
SAS
Kawhi Leonard,F,27:25,4,8,0.500,2,2,1.000,1,2,0.500,0,6,6,3,0,1,0,0,11,15.000
Tim Duncan,F,30:26,7,10,0.700,0,0,0.000,2,2,1.000,1,5,6,6,1,2,2,1,16,12.000
Tiago Splitter,C,22:50,6,7,0.857,0,0,0.000,2,4,0.500,2,8,10,1,0,2,1,3,14,9.000
Danny Green,G,19:29,2,5,0.400,1,3,0.333,0,0,0.000,0,2,2,2,0,0,0,4,5,5.000
Tony Parker,G,25:60,7,11,0.636,0,0,0.000,4,4,1.000,0,0,0,7,0,0,3,2,18,15.000
Manu Ginobili,,24:33,8,11,0.727,2,5,0.400,3,4,0.750,0,1,1,2,1,0,2,1,21,11.000
Patty Mills,,18:43,4,7,0.571,4,5,0.800,0,0,0.000,0,1,1,4,1,0,0,1,12,2.000
Marco Belinelli,,28:27,5,7,0.714,1,1,1.000,1,2,0.500,0,5,5,4,1,0,1,2,12,13.000
Boris Diaw,,19:12,3,5,0.600,0,0,0.000,0,0,0.000,0,5,5,2,0,0,3,2,6,-2.000
Aron Baynes,,14:18,1,4,0.250,0,0,0.000,1,1,1.000,0,0,0,0,0,0,0,3,3,9.000
Cory Joseph,,3:17,1,2,0.500,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,1.000
Matt Bonner,,2:40,0,0,0.000,0,0,0.000,0,0,0.000,0,3,3,0,0,0,0,0,0,0.000
Jeff Ayres,,2:40,1,1,1.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,0,2,0.000
