03-20,MIA-BOS,96-101,Team,
34-22,25-31,19-27,18-21,
MIA
Michael Beasley,F,28:09,5,11,0.455,0,0,0.000,2,3,0.667,1,3,4,4,1,0,4,1,12,-2.000
Udonis Haslem,F,27:04,7,8,0.875,0,0,0.000,0,0,0.000,1,4,5,3,0,2,1,4,14,-3.000
Chris Bosh,C,36:21,3,11,0.273,0,4,0.000,0,0,0.000,0,11,11,1,2,2,0,1,6,5.000
Dwyane Wade,G,32:02,7,17,0.412,0,1,0.000,3,3,1.000,2,1,3,5,1,1,3,1,17,-21.000
Mario Chalmers,G,24:32,3,6,0.500,1,3,0.333,0,0,0.000,0,2,2,11,0,0,3,5,7,12.000
Ray Allen,,31:56,5,11,0.455,1,4,0.250,3,4,0.750,0,1,1,1,2,0,0,0,14,3.000
Chris Andersen,,20:07,6,7,0.857,0,0,0.000,4,5,0.800,6,2,8,0,0,0,0,0,16,-3.000
Shane Battier,,13:49,0,3,0.000,0,3,0.000,0,0,0.000,0,0,0,0,2,0,0,1,0,-4.000
Norris Cole,,26:01,4,7,0.571,2,2,1.000,0,0,0.000,1,2,3,4,1,0,1,2,10,-12.000
BOS
Jeff Green,F,31:23,5,13,0.385,3,7,0.429,0,0,0.000,1,3,4,3,0,0,2,1,13,6.000
Brandon Bass,F,29:46,8,12,0.667,0,0,0.000,2,2,1.000,3,1,4,0,1,0,0,0,18,0.000
Kris Humphries,C,14:33,2,4,0.500,0,0,0.000,3,4,0.750,1,1,2,1,0,0,0,2,7,0.000
Avery Bradley,G,40:30,8,13,0.615,6,9,0.667,1,1,1.000,1,3,4,1,0,0,3,1,23,12.000
Rajon Rondo,G,38:47,4,8,0.500,0,2,0.000,1,2,0.500,0,10,10,15,0,0,4,5,9,-2.000
Jared Sullinger,,31:04,5,14,0.357,2,5,0.400,2,2,1.000,3,1,4,3,0,1,0,3,14,11.000
Jerryd Bayless,,25:58,3,6,0.500,1,3,0.333,0,0,0.000,0,2,2,5,0,1,2,3,7,-2.000
Chris Johnson,,7:22,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,1,1,0,1.000
Kelly Olynyk,,20:21,4,6,0.667,1,1,1.000,1,1,1.000,0,5,5,1,0,0,1,2,10,0.000
Joel Anthony,,0:16,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-1.000
