03-21,MIN-HOU,106-129,Team,
33-27,21-37,28-34,24-31,
MIN
Corey Brewer,F,17:24,0,3,0.000,0,2,0.000,0,0,0.000,0,0,0,0,1,0,1,1,0,-14.000
Kevin Love,F,29:32,10,19,0.526,5,9,0.556,4,4,1.000,1,5,6,5,1,2,1,2,29,-6.000
Gorgui Dieng,C,38:21,6,16,0.375,0,0,0.000,10,11,0.909,8,13,21,4,1,0,0,3,22,-10.000
Kevin Martin,G,19:54,2,5,0.400,1,3,0.333,1,2,0.500,0,1,1,1,1,0,2,2,6,-13.000
Ricky Rubio,G,25:24,2,6,0.333,1,2,0.500,0,0,0.000,0,2,2,8,0,0,2,1,5,-5.000
Jose Juan Barea,,14:58,1,5,0.200,0,2,0.000,2,2,1.000,1,0,1,3,0,0,4,0,4,-11.000
Luc Mbah a Moute,,24:35,5,7,0.714,1,1,1.000,0,2,0.000,2,1,3,1,1,1,1,0,11,-2.000
Chase Budinger,,26:59,5,14,0.357,1,5,0.200,0,0,0.000,1,1,2,2,1,0,0,3,11,-14.000
Dante Cunningham,,18:28,2,4,0.500,0,0,0.000,0,0,0.000,0,2,2,3,0,0,0,2,4,-17.000
Robbie Hummel,,9:39,1,2,0.500,1,1,1.000,0,0,0.000,0,1,1,0,0,0,0,2,3,-13.000
Alexey Shved,,8:45,3,4,0.750,2,3,0.667,0,0,0.000,0,0,0,1,0,0,3,0,8,-3.000
Shabazz Muhammad,,6:01,1,2,0.500,0,0,0.000,1,2,0.500,1,0,1,0,0,0,0,0,3,-7.000
HOU
Chandler Parsons,F,33:49,8,15,0.533,2,5,0.400,1,1,1.000,0,9,9,5,2,0,2,1,19,15.000
Terrence Jones,F,23:20,4,9,0.444,0,4,0.000,2,2,1.000,3,4,7,4,0,3,0,3,10,0.000
Omer Asik,C,27:29,4,4,1.000,0,0,0.000,4,5,0.800,1,4,5,3,0,4,2,4,12,9.000
James Harden,G,36:20,9,16,0.563,6,10,0.600,4,4,1.000,1,4,5,8,1,0,7,1,28,21.000
Patrick Beverley,G,25:13,5,10,0.500,4,7,0.571,0,0,0.000,0,2,2,3,2,0,1,3,14,18.000
Jeremy Lin,,29:54,4,7,0.571,1,3,0.333,2,2,1.000,0,3,3,10,1,0,1,3,11,17.000
Donatas Motiejunas,,25:47,9,11,0.818,1,2,0.500,1,1,1.000,3,3,6,0,1,0,1,1,20,19.000
Jordan Hamilton,,15:33,1,4,0.250,0,2,0.000,1,2,0.500,0,1,1,1,2,0,0,2,3,-5.000
Omri Casspi,,19:24,3,6,0.500,1,3,0.333,0,2,0.000,1,5,6,2,2,0,1,1,7,18.000
Isaiah Canaan,,3:11,2,3,0.667,1,2,0.500,0,0,0.000,0,0,0,0,0,0,0,1,5,3.000
