04-05,ORL-CHA,80-91,Team,
19-20,17-33,24-19,20-19,
ORL
Maurice Harkless,F,30:53,1,3,0.333,0,1,0.000,0,0,0.000,0,3,3,1,2,3,1,1,2,-21.000
Andrew Nicholson,C,13:11,0,1,0.000,0,0,0.000,0,0,0.000,1,2,3,0,0,0,0,4,0,-18.000
Arron Afflalo,G,23:06,2,10,0.200,0,2,0.000,4,4,1.000,1,2,3,0,0,0,1,1,8,-21.000
Jameer Nelson,G,21:27,5,11,0.455,1,3,0.333,0,0,0.000,1,1,2,7,0,0,1,1,11,-20.000
Tobias Harris,,31:28,5,12,0.417,1,2,0.500,4,5,0.800,2,6,8,1,1,1,2,3,15,7.000
Dewayne Dedmon,,18:22,2,5,0.400,0,0,0.000,3,5,0.600,5,3,8,0,0,0,1,4,7,-5.000
Victor Oladipo,,30:22,8,18,0.444,1,3,0.333,4,4,1.000,2,4,6,2,2,0,2,4,21,7.000
Doron Lamb,,20:57,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,1,0,0,1,2,0,14.000
CHA
Cody Zeller,F,24:47,2,4,0.500,0,0,0.000,4,6,0.667,1,3,4,0,0,2,2,2,8,11.000
Al Jefferson,C,36:45,13,24,0.542,0,1,0.000,3,3,1.000,4,12,16,0,0,1,2,1,29,7.000
Gerald Henderson,G,22:51,2,7,0.286,0,2,0.000,3,3,1.000,0,3,3,2,1,2,3,5,7,15.000
Kemba Walker,G,34:49,5,15,0.333,1,1,1.000,2,2,1.000,2,8,10,10,1,0,4,2,13,20.000
Luke Ridnour,,13:11,1,2,0.500,0,0,0.000,0,0,0.000,0,0,0,1,1,0,0,2,2,-9.000
Gary Neal,,25:09,4,10,0.400,1,4,0.250,3,3,1.000,0,3,3,2,0,0,2,1,12,-4.000
Anthony Tolliver,,23:13,4,7,0.571,4,5,0.800,1,2,0.500,1,1,2,1,0,0,0,1,13,0.000
Bismack Biyombo,,11:15,1,1,1.000,0,0,0.000,0,0,0.000,1,2,3,0,0,2,0,0,2,4.000
