04-10,OKC-LAC,107-101,Team,
29-22,30-32,26-19,22-28,
OKC
Kevin Durant,F,41:07,8,26,0.308,1,7,0.143,10,11,0.909,1,2,3,4,2,0,2,3,27,5.000
Serge Ibaka,F,29:41,5,12,0.417,1,1,1.000,4,4,1.000,1,6,7,1,0,4,1,4,15,10.000
Kendrick Perkins,C,21:47,3,3,1.000,0,0,0.000,0,0,0.000,1,3,4,0,0,1,0,2,6,8.000
Thabo Sefolosha,G,23:38,1,3,0.333,1,2,0.500,0,0,0.000,0,1,1,2,2,0,0,4,3,13.000
Russell Westbrook,G,33:08,12,24,0.500,0,3,0.000,6,8,0.750,3,8,11,6,2,0,1,2,30,15.000
Nick Collison,,12:15,1,1,1.000,0,0,0.000,0,0,0.000,2,2,4,1,0,0,1,2,2,7.000
Steven Adams,,19:34,2,2,1.000,0,0,0.000,3,5,0.600,2,5,7,0,1,1,0,3,7,4.000
Reggie Jackson,,23:47,3,8,0.375,2,5,0.400,1,2,0.500,0,3,3,2,0,1,1,0,9,-5.000
Caron Butler,,19:53,2,5,0.400,0,1,0.000,0,0,0.000,1,2,3,1,0,1,1,3,4,-19.000
Derek Fisher,,15:10,1,6,0.167,0,2,0.000,2,2,1.000,0,1,1,1,1,0,1,1,4,-8.000
LAC
Matt Barnes,F,29:09,3,9,0.333,1,4,0.250,0,0,0.000,2,5,7,3,0,2,2,3,7,-5.000
Blake Griffin,F,39:11,11,23,0.478,0,1,0.000,8,11,0.727,5,7,12,1,0,0,3,4,30,-6.000
DeAndre Jordan,C,32:43,4,6,0.667,0,0,0.000,2,8,0.250,5,7,12,0,1,3,1,2,10,-10.000
JJ Redick,G,27:20,1,7,0.143,1,7,0.143,1,1,1.000,0,3,3,8,1,0,3,1,4,-9.000
Chris Paul,G,39:57,8,17,0.471,3,7,0.429,6,9,0.667,1,4,5,8,2,0,4,4,25,-7.000
Reggie Bullock,,11:48,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,2,0,2.000
Darren Collison,,29:07,4,11,0.364,1,3,0.333,3,3,1.000,0,3,3,3,0,0,2,1,12,3.000
Jared Dudley,,7:03,0,2,0.000,0,1,0.000,0,0,0.000,0,0,0,0,1,0,0,0,0,-3.000
Glen Davis,,11:52,2,4,0.500,0,0,0.000,0,0,0.000,2,4,6,0,1,0,1,2,4,0.000
Hedo Turkoglu,,11:51,3,7,0.429,2,4,0.500,1,2,0.500,0,3,3,0,1,0,0,3,9,5.000
