04-16,NYK-BKN,109-98,Team,
29-18,26-25,28-24,26-31,
NYK
Iman Shumpert,F,31:11,4,9,0.444,0,2,0.000,3,4,0.750,1,3,4,2,3,0,2,4,11,9.000
Tyson Chandler,C,5:11,1,1,1.000,0,0,0.000,0,0,0.000,0,1,1,1,0,0,0,0,2,6.000
J.R. Smith,G,22:57,3,8,0.375,3,7,0.429,5,6,0.833,1,6,7,3,1,1,3,2,14,17.000
Raymond Felton,G,21:12,3,8,0.375,2,4,0.500,0,0,0.000,1,3,4,2,2,1,3,2,8,9.000
Tim Hardaway Jr.,,35:55,5,10,0.500,4,5,0.800,2,2,1.000,0,0,0,0,0,0,0,4,16,0.000
Cole Aldrich,,25:37,4,6,0.667,0,0,0.000,5,5,1.000,3,10,13,0,1,1,2,5,13,0.000
Pablo Prigioni,,4:53,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,2,0,0,4.000
Jeremy Tyler,,20:12,3,5,0.600,0,0,0.000,2,4,0.500,0,2,2,1,0,1,3,5,8,-2.000
Shannon Brown,,30:22,4,7,0.571,0,0,0.000,6,6,1.000,1,0,1,1,1,0,0,2,14,0.000
Toure Murry,,21:55,2,8,0.250,2,3,0.667,3,4,0.750,0,1,1,5,3,0,0,2,9,-2.000
BKN
Andrei Kirilenko,F,25:55,2,6,0.333,0,0,0.000,0,0,0.000,3,3,6,4,2,0,2,4,4,-13.000
Paul Pierce,F,20:32,4,8,0.500,1,2,0.500,4,6,0.667,1,0,1,1,1,0,2,5,13,-12.000
Kevin Garnett,C,14:47,0,4,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,3,0,-6.000
Joe Johnson,G,30:36,3,9,0.333,2,5,0.400,4,7,0.571,1,5,6,4,1,0,0,1,12,-19.000
Deron Williams,G,29:32,4,9,0.444,1,4,0.250,1,1,1.000,1,1,2,1,1,0,3,1,10,-11.000
Mason Plumlee,,30:22,7,9,0.778,0,0,0.000,2,4,0.500,3,6,9,4,1,0,1,2,16,-12.000
Marcus Thornton,,30:06,7,15,0.467,4,10,0.400,6,8,0.750,1,2,3,2,1,0,2,2,24,-3.000
Andray Blatche,,19:26,2,4,0.500,1,2,0.500,3,3,1.000,1,3,4,1,1,0,6,2,8,5.000
Jorge Gutierrez,,26:58,2,7,0.286,1,2,0.500,0,0,0.000,0,2,2,4,1,0,1,4,5,3.000
Marquis Teague,,8:55,1,2,0.500,0,0,0.000,2,2,1.000,0,1,1,4,1,1,2,1,4,6.000
Jason Collins,,2:51,1,2,0.500,0,0,0.000,0,0,0.000,1,1,2,0,0,0,0,1,2,7.000
