04-20,MEM-OKC,86-100,Playoff,
16-29,18-27,31-13,21-31,
MEM
Tayshaun Prince,F,4:27,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-11.000
Zach Randolph,F,38:45,7,21,0.333,0,0,0.000,7,12,0.583,8,3,11,3,0,1,1,5,21,-2.000
Marc Gasol,C,44:51,7,19,0.368,0,0,0.000,2,5,0.400,1,5,6,4,3,0,1,3,16,-15.000
Courtney Lee,G,29:22,4,7,0.571,0,0,0.000,0,0,0.000,0,1,1,0,0,1,0,3,8,-2.000
Mike Conley,G,39:09,6,15,0.400,0,6,0.000,4,5,0.800,0,5,5,11,3,0,1,1,16,-10.000
Tony Allen,,32:45,6,12,0.500,0,1,0.000,1,1,1.000,2,4,6,1,1,0,2,4,13,9.000
Beno Udrih,,14:42,1,4,0.250,0,1,0.000,1,4,0.250,1,3,4,1,0,0,0,1,3,-6.000
Mike Miller,,20:03,1,6,0.167,1,2,0.500,0,0,0.000,1,2,3,0,0,0,0,4,3,-21.000
Kosta Koufos,,5:25,0,1,0.000,0,0,0.000,2,2,1.000,0,1,1,0,0,1,1,2,2,-4.000
James Johnson,,5:50,1,3,0.333,1,1,1.000,1,2,0.500,0,1,1,0,0,0,0,0,4,-6.000
Ed Davis,,3:54,0,1,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,1,0,1,0,-3.000
Jon Leuer,,0:47,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,1.000
OKC
Kevin Durant,F,43:09,13,25,0.520,3,7,0.429,4,6,0.667,1,7,8,7,1,0,3,1,33,10.000
Serge Ibaka,F,34:13,6,8,0.750,0,0,0.000,5,5,1.000,2,7,9,1,0,4,1,3,17,9.000
Kendrick Perkins,C,16:22,1,1,1.000,0,0,0.000,0,0,0.000,1,3,4,0,0,0,3,4,2,0.000
Thabo Sefolosha,G,10:49,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-5.000
Russell Westbrook,G,32:30,8,19,0.421,0,5,0.000,7,7,1.000,1,9,10,5,0,0,5,1,23,6.000
Nick Collison,,19:08,1,6,0.167,0,0,0.000,1,2,0.500,2,3,5,3,0,2,0,3,3,9.000
Caron Butler,,30:53,3,7,0.429,1,1,1.000,2,2,1.000,0,5,5,1,1,0,0,2,9,18.000
Steven Adams,,12:09,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,3,0,5,0,2.000
Reggie Jackson,,23:54,1,5,0.200,0,2,0.000,7,8,0.875,0,8,8,4,0,1,0,2,9,9.000
Derek Fisher,,12:03,1,3,0.333,0,1,0.000,2,2,1.000,0,1,1,1,1,0,0,1,4,15.000
Hasheem Thabeet,,4:03,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,3,0,-2.000
Jeremy Lamb,,0:47,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-1.000
