04-24,CHA-MIA,97-101,Playoff,
19-29,28-28,25-22,25-22,
CHA
Josh McRoberts,F,37:24,3,7,0.429,2,3,0.667,0,0,0.000,0,1,1,4,0,0,1,5,8,14.000
Al Jefferson,C,40:15,9,23,0.391,0,0,0.000,0,0,0.000,5,8,13,1,0,0,1,3,18,2.000
Gerald Henderson,G,31:39,5,11,0.455,0,3,0.000,5,7,0.714,0,4,4,1,3,1,1,6,15,-1.000
Kemba Walker,G,44:38,5,18,0.278,4,9,0.444,2,2,1.000,1,2,3,8,2,0,2,1,16,2.000
Gary Neal,,14:32,1,8,0.125,1,3,0.333,0,0,0.000,1,0,1,0,0,0,2,3,3,-17.000
Cody Zeller,,11:03,1,2,0.500,0,0,0.000,1,2,0.500,2,1,3,0,0,0,2,0,3,-15.000
Luke Ridnour,,3:22,1,1,1.000,1,1,1.000,0,0,0.000,0,1,1,0,0,0,0,0,3,-6.000
Anthony Tolliver,,7:18,1,1,1.000,1,1,1.000,0,0,0.000,1,0,1,1,0,0,0,0,3,-9.000
MIA
LeBron James,F,39:50,11,17,0.647,1,5,0.200,9,12,0.750,0,6,6,8,4,0,4,2,32,6.000
Udonis Haslem,F,19:22,1,4,0.250,0,0,0.000,0,0,0.000,1,4,5,0,0,0,1,2,2,-1.000
Chris Bosh,C,31:49,8,11,0.727,4,5,0.800,0,0,0.000,0,5,5,0,1,2,1,4,20,-12.000
Dwyane Wade,G,34:45,4,10,0.400,0,0,0.000,7,9,0.778,2,4,6,2,2,0,4,3,15,-9.000
Mario Chalmers,G,29:49,3,7,0.429,2,4,0.500,3,4,0.750,0,2,2,3,0,1,1,0,11,-15.000
Rashard Lewis,,13:45,1,3,0.333,0,2,0.000,2,2,1.000,0,4,4,1,1,1,1,3,4,16.000
Norris Cole,,22:26,2,5,0.400,1,3,0.333,0,0,0.000,0,0,0,2,1,0,2,2,5,12.000
Chris Andersen,,19:04,3,4,0.750,0,0,0.000,1,2,0.500,1,3,4,0,0,2,0,1,7,8.000
Ray Allen,,18:22,1,4,0.250,0,2,0.000,0,0,0.000,0,4,4,3,0,0,3,3,2,11.000
James Jones,,10:48,1,2,0.500,1,2,0.500,0,0,0.000,0,1,1,0,0,0,0,1,3,4.000
