04-24,DAL-SAS,113-92,Playoff,
24-23,32-28,32-24,25-17,
DAL
Shawn Marion,F,34:49,8,10,0.800,2,4,0.500,2,2,1.000,3,2,5,2,3,0,0,2,20,11.000
Dirk Nowitzki,F,34:38,7,19,0.368,1,1,1.000,1,1,1.000,0,5,5,1,2,1,1,2,16,12.000
Samuel Dalembert,C,16:03,1,2,0.500,0,0,0.000,2,2,1.000,4,3,7,0,0,1,1,0,4,4.000
Monta Ellis,G,33:46,8,20,0.400,1,4,0.250,4,4,1.000,1,2,3,3,3,0,1,1,21,9.000
Jose Calderon,G,28:05,5,10,0.500,1,4,0.250,1,1,1.000,0,0,0,5,0,0,1,2,12,14.000
Devin Harris,,24:09,7,9,0.778,2,3,0.667,2,2,1.000,0,4,4,5,1,1,2,4,18,9.000
Vince Carter,,22:00,3,6,0.500,1,1,1.000,1,2,0.500,1,0,1,2,0,0,1,1,8,19.000
Brandan Wright,,8:32,2,2,1.000,0,0,0.000,0,0,0.000,0,1,1,1,0,0,0,2,4,4.000
DeJuan Blair,,14:12,3,6,0.500,0,0,0.000,2,2,1.000,3,4,7,0,4,0,0,3,8,13.000
Jae Crowder,,16:20,1,4,0.250,0,1,0.000,0,0,0.000,1,0,1,0,0,0,0,2,2,9.000
Wayne Ellington,,3:09,0,2,0.000,0,2,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-1.000
Shane Larkin,,2:09,0,2,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,1.000
Bernard James,,2:09,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,0,0,1.000
SAS
Kawhi Leonard,F,22:25,1,5,0.200,1,2,0.500,3,5,0.600,4,1,5,0,0,0,2,3,6,-6.000
Tim Duncan,F,29:54,4,5,0.800,0,0,0.000,3,4,0.750,1,6,7,1,0,2,1,1,11,-15.000
Tiago Splitter,C,27:32,2,5,0.400,0,0,0.000,2,2,1.000,2,3,5,3,0,0,2,1,6,-2.000
Danny Green,G,22:08,2,5,0.400,2,5,0.400,0,0,0.000,0,2,2,2,0,1,2,1,6,-8.000
Tony Parker,G,25:43,5,10,0.500,0,2,0.000,2,5,0.400,0,2,2,3,0,0,3,3,12,-10.000
Manu Ginobili,,22:46,9,12,0.750,5,6,0.833,4,7,0.571,2,0,2,4,0,0,6,2,27,-5.000
Boris Diaw,,17:13,2,2,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,2,1,4,-21.000
Marco Belinelli,,29:06,3,7,0.429,1,1,1.000,0,0,0.000,0,5,5,1,0,0,2,3,7,-31.000
Patty Mills,,16:25,1,7,0.143,1,4,0.250,2,2,1.000,0,1,1,0,1,0,1,3,5,-10.000
Jeff Ayres,,6:16,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,2,0,0,1,1,0,-3.000
Cory Joseph,,8:48,1,2,0.500,0,0,0.000,2,4,0.500,0,2,2,1,0,0,0,0,4,8.000
Matt Bonner,,5:52,2,2,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,4,-1.000
Austin Daye,,5:52,0,2,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-1.000
