05-09,BKN-MIA,82-94,Playoff,
21-15,25-30,21-24,15-25,
BKN
Joe Johnson,F,39:06,6,14,0.429,0,4,0.000,1,2,0.500,0,4,4,3,1,1,0,1,13,-13.000
Paul Pierce,F,34:06,5,11,0.455,2,4,0.500,1,2,0.500,0,4,4,2,0,0,2,3,13,-11.000
Kevin Garnett,C,20:44,2,8,0.250,0,1,0.000,0,0,0.000,5,7,12,3,3,0,3,1,4,-11.000
Shaun Livingston,G,32:37,6,9,0.667,0,0,0.000,3,4,0.750,1,4,5,3,0,1,3,2,15,-2.000
Deron Williams,G,36:31,0,9,0.000,0,2,0.000,0,0,0.000,1,6,7,6,0,0,2,1,0,-18.000
Mason Plumlee,,10:59,1,2,0.500,0,0,0.000,0,0,0.000,1,1,2,1,0,1,1,4,2,2.000
Alan Anderson,,17:19,1,3,0.333,0,2,0.000,3,4,0.750,2,2,4,1,1,0,0,2,5,6.000
Andray Blatche,,4:36,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,1.000
Mirza Teletovic,,25:35,7,12,0.583,6,9,0.667,0,0,0.000,0,2,2,0,0,0,2,0,20,-5.000
Marcus Thornton,,18:27,5,10,0.500,0,2,0.000,0,2,0.000,3,0,3,0,0,0,0,1,10,-9.000
MIA
LeBron James,F,39:07,9,18,0.500,0,3,0.000,4,6,0.667,0,4,4,3,2,1,2,2,22,6.000
Shane Battier,F,19:21,1,3,0.333,1,2,0.500,0,0,0.000,0,1,1,0,1,0,0,1,3,-3.000
Chris Bosh,C,36:43,7,13,0.538,1,4,0.250,3,4,0.750,3,3,6,0,0,3,1,0,18,7.000
Dwyane Wade,G,35:27,4,11,0.364,0,1,0.000,6,6,1.000,1,6,7,7,2,1,2,3,14,7.000
Mario Chalmers,G,34:20,4,7,0.571,2,3,0.667,1,2,0.500,0,1,1,5,1,1,1,3,11,17.000
Chris Andersen,,9:52,1,3,0.333,0,0,0.000,0,0,0.000,0,3,3,0,1,0,0,0,2,2.000
Ray Allen,,27:49,5,8,0.625,3,5,0.600,0,0,0.000,2,6,8,2,1,1,1,3,13,14.000
Norris Cole,,17:09,2,4,0.500,1,3,0.333,0,0,0.000,0,3,3,0,1,0,1,2,5,-4.000
Rashard Lewis,,20:12,2,4,0.500,2,3,0.667,0,0,0.000,0,3,3,0,1,0,0,0,6,14.000
