05-29,MIA-IND,90-93,Playoff,
16-22,26-11,15-31,33-29,
MIA
LeBron James,F,24:21,2,10,0.200,1,3,0.333,2,3,0.667,1,1,2,4,0,1,3,5,7,1.000
Rashard Lewis,F,31:20,6,10,0.600,6,9,0.667,0,0,0.000,2,2,4,0,0,0,2,4,18,0.000
Chris Bosh,C,41:07,9,21,0.429,2,7,0.286,0,0,0.000,4,6,10,2,2,1,2,4,20,10.000
Dwyane Wade,G,39:60,7,14,0.500,2,3,0.667,2,2,1.000,3,5,8,7,2,0,6,2,18,4.000
Mario Chalmers,G,35:23,3,4,0.750,1,2,0.500,1,1,1.000,0,8,8,5,1,0,0,1,8,-7.000
Ray Allen,,22:49,5,11,0.455,3,6,0.500,2,2,1.000,0,2,2,1,0,1,1,1,15,-1.000
Udonis Haslem,,7:09,2,2,1.000,0,0,0.000,0,0,0.000,1,1,2,0,0,0,0,1,4,-13.000
Norris Cole,,18:20,0,2,0.000,0,1,0.000,0,0,0.000,0,1,1,3,0,0,3,3,0,-4.000
Shane Battier,,11:50,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,1,0,0,2,0,4.000
Toney Douglas,,4:30,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-5.000
Michael Beasley,,3:12,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-4.000
IND
Paul George,F,45:04,15,28,0.536,5,14,0.357,2,3,0.667,1,5,6,2,6,0,3,2,37,9.000
David West,F,41:10,7,11,0.636,0,0,0.000,5,8,0.625,2,7,9,2,2,1,2,4,19,5.000
Roy Hibbert,C,37:52,4,11,0.364,0,0,0.000,2,3,0.667,6,7,13,2,0,1,3,4,10,9.000
Lance Stephenson,G,43:01,4,11,0.364,0,3,0.000,4,4,1.000,3,2,5,5,2,0,2,3,12,3.000
George Hill,G,37:53,4,9,0.444,1,2,0.500,0,2,0.000,2,5,7,1,2,0,0,0,9,12.000
Luis Scola,,16:46,3,6,0.500,0,0,0.000,0,2,0.000,2,2,4,1,0,0,1,2,6,-6.000
CJ Watson,,13:15,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,0,1,0,-4.000
Ian Mahinmi,,0:12,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
Rasual Butler,,4:47,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-11.000
