10-08,MAC-PHX,89-130,Preseason,
16-32,31-37,19-30,23-31,
MAC
Alex Chubrevich,,12,1,6,0.167,0,0,0.000,0,0,0.000,1,1,2,0,0,0,2,3,2,0
Ben Reis,,15,1,3,0.333,1,1,1.000,0,0,0.000,0,2,2,0,0,0,1,3,3,0
Brian Randle,,34,6,11,0.545,0,0,0.000,0,2,0.000,0,4,4,2,1,1,5,1,12,0
Dagan Yivzuri,,25,4,13,0.308,2,5,0.400,4,5,0.800,1,2,3,2,1,0,1,1,14,0
David Cubillan,,31,4,7,0.571,3,5,0.600,0,0,0.000,1,0,1,4,0,0,2,1,11,0
Donta Smith,,37,3,11,0.273,0,3,0.000,7,7,1.000,1,7,8,2,2,0,3,3,13,0
Ido Kozikaro,,20,2,3,0.667,0,0,0.000,0,0,0.000,0,0,0,0,0,0,3,0,4,0
Ike Ofoegbu,,20,3,9,0.333,0,3,0.000,3,6,0.500,1,1,2,1,0,0,1,2,9,0
Moran Roth,,23,4,7,0.571,2,3,0.667,2,2,1.000,0,2,2,4,1,0,3,2,12,0
Sherwood Brown,,13,3,6,0.500,2,4,0.500,0,1,0.000,1,2,3,0,0,1,1,1,8,0
Uri Kokia,,11,0,3,0.000,0,0,0.000,1,2,0.500,1,3,4,0,0,0,1,2,1,0
PHX
Alex Len,,16,3,7,0.429,0,0,0.000,1,2,0.500,1,5,6,1,0,1,1,2,7,0
Archie Goodwin,,18,5,8,0.625,0,2,0.000,3,4,0.750,0,3,3,1,1,0,2,1,13,0
Dionte Christmas,,7,0,1,0.000,0,0,0.000,0,0,0.000,1,0,1,3,1,0,0,0,0,0
Eric Bledsoe,,21,10,15,0.667,1,4,0.250,1,3,0.333,1,2,3,4,5,1,3,2,22,0
Gerald Green,,9,2,4,0.500,0,1,0.000,0,0,0.000,0,2,2,0,1,0,1,2,4,0
Goran Dragic,,20,6,7,0.857,1,2,0.500,3,4,0.750,0,2,2,5,0,0,3,1,16,0
Ish Smith,,12,2,4,0.500,0,1,0.000,0,0,0.000,1,1,2,2,0,0,1,2,4,0
James Nunnally,,8,1,2,0.500,1,2,0.500,0,0,0.000,0,2,2,2,0,0,0,0,3,0
Kendall Marshall,,9,1,2,0.500,0,1,0.000,0,0,0.000,0,0,0,4,0,0,1,0,2,0
Marcin Gortat,,16,2,6,0.333,0,0,0.000,2,2,1.000,2,3,5,0,0,3,0,0,6,0
Marcus Morris,,16,4,6,0.667,2,4,0.500,0,0,0.000,0,2,2,3,1,1,0,3,10,0
Markieff Morris,,24,5,8,0.625,0,0,0.000,0,0,0.000,1,3,4,0,0,0,1,2,10,0
Miles Plumlee,,14,3,3,1.000,0,0,0.000,1,1,1.000,1,4,5,1,0,1,1,4,7,0
PJ Tucker,,16,3,5,0.600,0,0,0.000,1,2,0.500,0,4,4,2,5,0,0,1,7,0
Shannon Brown,,18,4,6,0.667,0,0,0.000,1,2,0.500,0,4,4,2,2,1,1,1,9,0
Viacheslav Kravtsov,,16,4,4,1.000,0,0,0.000,2,2,1.000,1,1,2,0,0,1,1,0,10,0
