10-21,MEM-ATL,90-82,Preseason,
28-14,25-26,17-28,20-14,
MEM
Andre Barrett,,2,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,0
Ed Davis,,26,7,11,0.636,0,0,0.000,0,0,0.000,1,7,8,0,1,2,3,4,14,0
Jamaal Franklin,,20,2,6,0.333,2,4,0.500,4,5,0.800,0,6,6,1,2,0,2,1,10,0
Jerryd Bayless,,24,8,9,0.889,6,6,1.000,0,0,0.000,0,1,1,3,0,0,3,1,22,0
Jon Leuer,,16,3,6,0.500,0,0,0.000,3,3,1.000,1,5,6,1,0,0,1,5,9,0
Marc Gasol,,22,4,10,0.400,0,0,0.000,2,3,0.667,1,2,3,3,1,1,3,3,10,0
Mike Miller,,22,1,5,0.200,1,2,0.500,2,2,1.000,0,3,3,3,0,0,2,2,5,0
Nick Calathes,,25,1,6,0.167,0,0,0.000,2,2,1.000,1,2,3,10,2,1,3,0,4,0
Quincy Pondexter,,18,0,2,0.000,0,1,0.000,0,2,0.000,0,1,1,3,2,0,2,0,0,0
Tony Allen,,23,3,11,0.273,0,1,0.000,2,4,0.500,2,4,6,2,2,0,1,2,8,0
Tony Gaffney,,9,1,3,0.333,0,0,0.000,0,0,0.000,0,2,2,0,0,1,0,1,2,0
Willie Reed,,10,1,4,0.250,0,0,0.000,0,0,0.000,1,1,2,0,0,1,2,2,2,0
Zach Randolph,,22,1,4,0.250,0,0,0.000,2,2,1.000,0,5,5,1,2,0,3,2,4,0
ATL
Al Horford,,27,3,7,0.429,0,0,0.000,2,2,1.000,1,4,5,5,2,1,2,1,8,0
Cartier Martin,,23,1,12,0.083,0,4,0.000,0,0,0.000,1,1,2,0,1,0,1,2,2,0
DeMarre Carroll,,23,3,7,0.429,3,3,1.000,0,0,0.000,2,3,5,0,1,0,2,3,9,0
Dennis Schroder,,26,3,10,0.300,0,4,0.000,0,0,0.000,0,5,5,1,0,0,2,2,6,0
Elton Brand,,15,1,4,0.250,0,0,0.000,0,0,0.000,3,3,6,0,0,1,1,1,2,0
Jared Cunningham,,16,0,5,0.000,0,1,0.000,8,8,1.000,1,3,4,1,1,0,1,2,8,0
Jeff Teague,,30,5,9,0.556,0,1,0.000,5,6,0.833,0,1,1,5,0,0,4,1,15,0
Kyle Korver,,26,2,8,0.250,2,6,0.333,1,1,1.000,0,1,1,5,2,1,3,6,7,0
Mike Scott,,7,0,1,0.000,0,0,0.000,2,2,1.000,0,2,2,0,1,0,0,0,2,0
Paul Millsap,,25,8,11,0.727,1,2,0.500,2,6,0.333,0,8,8,3,2,3,2,1,19,0
Pero Antic,,22,2,7,0.286,0,3,0.000,0,0,0.000,0,4,4,0,2,0,2,2,4,0
