11-07,CLE-MIL,104-109,Team,
23-30,30-25,26-28,25-26,
CLE
Earl Clark,F,12:55,1,2,0.500,1,1,1.000,0,0,0.000,0,2,2,0,1,0,0,3,3,-1.000
Tristan Thompson,F,34:59,1,5,0.200,0,0,0.000,3,4,0.750,3,4,7,0,2,0,2,1,5,8.000
Anderson Varejao,C,32:30,6,9,0.667,0,0,0.000,0,0,0.000,3,5,8,3,3,0,0,3,12,2.000
Dion Waiters,G,30:16,7,13,0.538,1,4,0.250,6,11,0.545,0,3,3,3,1,1,1,2,21,10.000
Kyrie Irving,G,35:25,10,20,0.500,4,6,0.667,5,5,1.000,1,4,5,8,0,0,2,2,29,11.000
CJ Miles,,24:08,5,11,0.455,4,10,0.400,0,0,0.000,1,2,3,2,0,0,0,2,14,-5.000
Alonzo Gee,,23:13,2,5,0.400,1,3,0.333,2,2,1.000,1,3,4,1,1,0,1,1,7,-15.000
Jarrett Jack,,18:54,3,8,0.375,0,1,0.000,0,0,0.000,0,0,0,2,0,0,2,3,6,-19.000
Anthony Bennett,,11:37,1,5,0.200,1,3,0.333,0,0,0.000,2,1,3,1,2,1,0,1,3,-5.000
Andrew Bynum,,14:19,2,7,0.286,0,0,0.000,0,0,0.000,1,3,4,0,0,0,1,2,4,-9.000
Tyler Zeller,,1:45,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-2.000
MIL
Caron Butler,F,29:44,4,12,0.333,2,7,0.286,0,0,0.000,1,3,4,0,1,0,3,3,10,-10.000
John Henson,F,39:06,7,9,0.778,0,0,0.000,0,2,0.000,0,9,9,3,0,3,0,4,14,3.000
Zaza Pachulia,C,40:55,2,4,0.500,0,0,0.000,10,10,1.000,4,5,9,7,0,0,3,2,14,-5.000
O.J. Mayo,G,33:03,9,19,0.474,6,7,0.857,4,4,1.000,0,2,2,3,0,0,4,3,28,-5.000
Nate Wolters,G,32:51,2,5,0.400,0,1,0.000,5,5,1.000,2,6,8,6,0,0,0,3,9,7.000
Ekpe Udoh,,13:18,2,3,0.667,0,0,0.000,0,0,0.000,2,3,5,1,2,1,1,1,4,6.000
Gary Neal,,30:43,8,15,0.533,4,5,0.800,3,3,1.000,0,1,1,4,0,0,1,0,23,12.000
Khris Middleton,,20:21,2,5,0.400,1,3,0.333,2,2,1.000,0,3,3,1,0,0,2,2,7,17.000
