11-08,LAC-MIA,97-102,Team,
31-28,25-24,17-24,24-26,
LAC
Jared Dudley,F,27:54,1,5,0.200,0,4,0.000,0,0,0.000,1,0,1,2,2,0,3,4,2,-1.000
Blake Griffin,F,38:18,11,15,0.733,1,1,1.000,4,5,0.800,2,12,14,2,1,0,3,3,27,4.000
DeAndre Jordan,C,42:02,4,8,0.500,0,0,0.000,3,5,0.600,4,10,14,1,2,1,2,5,11,-3.000
JJ Redick,G,30:49,4,11,0.364,2,6,0.333,5,6,0.833,1,1,2,1,0,0,1,5,15,6.000
Chris Paul,G,37:26,3,11,0.273,0,3,0.000,5,5,1.000,0,5,5,12,2,0,5,5,11,4.000
Jamal Crawford,,29:29,6,11,0.545,2,5,0.400,0,0,0.000,0,1,1,1,1,0,1,1,14,-14.000
Willie Green,,14:04,2,4,0.500,1,2,0.500,0,0,0.000,0,0,0,2,0,0,2,3,5,-5.000
Byron Mullens,,8:12,3,5,0.600,0,1,0.000,0,0,0.000,1,0,1,1,0,0,0,2,6,-3.000
Darren Collison,,11:26,2,3,0.667,2,2,1.000,0,0,0.000,0,0,0,0,0,0,0,2,6,-13.000
Reggie Bullock,,0:20,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
MIA
LeBron James,F,37:09,6,13,0.462,1,3,0.333,5,9,0.556,0,5,5,6,1,0,4,4,18,-1.000
Udonis Haslem,F,14:59,2,2,1.000,0,0,0.000,0,0,0.000,1,1,2,0,0,0,0,1,4,-5.000
Chris Bosh,C,29:10,4,8,0.500,1,2,0.500,3,6,0.500,2,4,6,1,0,1,0,4,12,-7.000
Dwyane Wade,G,33:54,13,22,0.591,0,1,0.000,3,4,0.750,1,3,4,7,3,1,7,1,29,7.000
Mario Chalmers,G,23:14,2,5,0.400,1,2,0.500,1,1,1.000,1,1,2,6,0,0,2,4,6,-7.000
Ray Allen,,26:01,5,8,0.625,0,3,0.000,2,3,0.667,0,1,1,2,1,0,0,0,12,15.000
Shane Battier,,22:04,2,4,0.500,1,3,0.333,2,4,0.500,1,0,1,1,1,0,0,1,7,13.000
Chris Andersen,,18:50,3,3,1.000,0,0,0.000,4,5,0.800,1,2,3,1,0,1,2,2,10,12.000
Norris Cole,,27:03,0,5,0.000,0,1,0.000,0,0,0.000,1,2,3,3,0,0,1,4,0,7.000
Rashard Lewis,,7:36,1,1,1.000,1,1,1.000,1,1,1.000,0,3,3,0,0,0,0,2,4,-9.000
