11-14,NYK-ATL,95-91,Team,
29-24,26-21,10-23,30-23,
NYK
J.R. Smith,F,32:57,4,10,0.400,3,7,0.429,1,4,0.250,2,5,7,1,1,0,0,1,12,-3.000
Carmelo Anthony,F,40:02,9,25,0.360,3,6,0.500,4,5,0.800,0,4,4,2,1,0,2,4,25,-5.000
Andrea Bargnani,C,30:59,8,15,0.533,2,4,0.500,2,2,1.000,4,7,11,2,0,1,1,2,20,6.000
Iman Shumpert,G,34:52,2,8,0.250,1,4,0.250,0,0,0.000,1,5,6,9,4,1,0,3,5,15.000
Raymond Felton,G,31:37,5,12,0.417,0,3,0.000,0,0,0.000,1,1,2,5,1,1,0,3,10,1.000
Kenyon Martin,,16:46,1,1,1.000,0,0,0.000,0,0,0.000,0,3,3,1,0,0,0,2,2,2.000
Metta World Peace,,21:21,2,5,0.400,0,2,0.000,0,0,0.000,0,1,1,0,1,0,0,0,4,-4.000
Pablo Prigioni,,15:53,1,4,0.250,1,4,0.250,0,0,0.000,0,1,1,4,2,0,0,4,3,9.000
Tim Hardaway Jr.,,15:18,5,8,0.625,2,4,0.500,2,2,1.000,0,2,2,0,1,0,0,0,14,3.000
Cole Aldrich,,0:15,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-4.000
ATL
DeMarre Carroll,F,32:50,2,7,0.286,0,2,0.000,0,0,0.000,0,9,9,2,0,0,1,1,4,5.000
Paul Millsap,F,31:27,3,9,0.333,0,2,0.000,0,0,0.000,1,5,6,4,1,3,2,3,6,-3.000
Al Horford,C,35:04,11,14,0.786,0,0,0.000,1,2,0.500,1,4,5,0,0,0,1,0,23,3.000
Kyle Korver,G,36:31,3,7,0.429,2,6,0.333,0,1,0.000,0,8,8,2,0,1,2,3,8,-9.000
Jeff Teague,G,39:50,7,17,0.412,0,2,0.000,11,14,0.786,1,4,5,8,0,0,4,4,25,12.000
Pero Antic,,12:55,1,3,0.333,0,0,0.000,2,2,1.000,2,3,5,2,0,0,1,1,4,-5.000
Cartier Martin,,26:02,5,13,0.385,3,10,0.300,0,0,0.000,0,4,4,1,0,2,0,0,13,-4.000
Mike Scott,,16:33,3,6,0.500,0,1,0.000,2,2,1.000,3,2,5,1,0,0,0,2,8,-1.000
Dennis Schroder,,8:47,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,2,0,0,4,1,0,-18.000
