11-23,CHI-POR,95-98,Team,
32-22,27-22,12-34,24-20,
CHI
Luol Deng,F,42:53,6,17,0.353,0,2,0.000,3,3,1.000,6,8,14,0,1,0,3,1,15,-1.000
Carlos Boozer,F,24:33,6,10,0.600,0,0,0.000,4,4,1.000,2,5,7,0,0,0,4,2,16,-10.000
Joakim Noah,C,27:02,3,6,0.500,0,0,0.000,1,2,0.500,0,2,2,3,1,1,2,3,7,-19.000
Mike Dunleavy,G,31:33,3,6,0.500,2,4,0.500,3,3,1.000,1,2,3,1,1,0,0,2,11,-2.000
Derrick Rose,G,27:31,6,19,0.316,2,5,0.400,6,7,0.857,1,4,5,3,2,0,4,0,20,-9.000
Kirk Hinrich,,33:38,4,12,0.333,1,3,0.333,4,4,1.000,1,6,7,3,1,0,0,4,13,-1.000
Taj Gibson,,26:22,3,10,0.300,0,0,0.000,2,2,1.000,2,3,5,0,0,0,1,2,8,10.000
Marquis Teague,,8:29,1,2,0.500,0,0,0.000,2,2,1.000,0,0,0,1,0,0,0,1,4,2.000
Nazr Mohammed,,17:59,0,1,0.000,0,0,0.000,1,2,0.500,4,5,9,0,2,0,0,2,1,15.000
POR
Nicolas Batum,F,39:05,5,12,0.417,3,7,0.429,4,4,1.000,0,8,8,3,5,1,2,2,17,2.000
LaMarcus Aldridge,F,40:26,4,20,0.200,0,0,0.000,4,4,1.000,2,4,6,4,3,1,2,1,12,4.000
Robin Lopez,C,35:51,6,10,0.600,0,0,0.000,1,2,0.500,8,8,16,0,0,1,2,1,13,12.000
Wesley Matthews,G,36:36,12,19,0.632,4,8,0.500,0,0,0.000,0,2,2,1,2,0,2,1,28,15.000
Damian Lillard,G,34:59,6,14,0.429,3,5,0.600,5,5,1.000,0,2,2,6,1,0,2,5,20,4.000
Mo Williams,,20:43,3,7,0.429,2,3,0.667,0,0,0.000,0,1,1,4,0,0,0,3,8,-4.000
Dorell Wright,,12:50,0,4,0.000,0,3,0.000,0,0,0.000,0,1,1,3,0,0,0,0,0,-2.000
Joel Freeland,,14:22,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,1,3,0,-8.000
Thomas Robinson,,5:08,0,2,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,2,0,-8.000
