12-22,MEM-NYK,95-87,Team,
25-22,25-18,22-21,23-26,
MEM
James Johnson,F,29:60,2,2,1.000,1,1,1.000,0,0,0.000,2,6,8,3,2,0,2,4,5,1.000
Zach Randolph,F,38:01,9,18,0.500,0,0,0.000,7,10,0.700,3,12,15,1,0,0,5,5,25,11.000
Ed Davis,C,25:19,5,6,0.833,0,0,0.000,0,0,0.000,2,2,4,0,0,2,0,1,10,9.000
Tony Allen,G,34:55,8,13,0.615,0,1,0.000,3,3,1.000,2,6,8,2,2,0,1,0,19,6.000
Mike Conley,G,34:22,4,18,0.222,0,4,0.000,1,1,1.000,0,1,1,8,0,0,2,1,9,3.000
Jon Leuer,,16:47,1,4,0.250,0,1,0.000,0,0,0.000,1,4,5,2,0,0,2,1,2,-4.000
Jamaal Franklin,,17:27,1,5,0.200,0,1,0.000,0,0,0.000,1,0,1,0,0,0,1,0,2,8.000
Mike Miller,,13:35,1,3,0.333,0,1,0.000,0,0,0.000,1,3,4,0,0,0,0,1,2,-1.000
Kosta Koufos,,15:53,5,8,0.625,0,0,0.000,0,0,0.000,1,8,9,1,0,1,0,2,10,0.000
Jerryd Bayless,,13:41,3,5,0.600,0,0,0.000,5,5,1.000,0,1,1,0,1,0,3,1,11,7.000
NYK
Carmelo Anthony,F,41:48,11,22,0.500,2,6,0.333,6,7,0.857,1,6,7,1,2,2,0,0,30,-2.000
Andrea Bargnani,F,22:29,1,5,0.200,0,1,0.000,1,2,0.500,1,1,2,1,0,1,1,1,3,4.000
Tyson Chandler,C,32:60,2,7,0.286,0,0,0.000,4,8,0.500,3,3,6,2,1,1,0,4,8,-11.000
Iman Shumpert,G,17:39,1,7,0.143,0,3,0.000,0,0,0.000,0,4,4,0,0,0,0,2,2,-12.000
Beno Udrih,G,30:36,2,6,0.333,0,2,0.000,0,0,0.000,0,2,2,6,2,1,2,3,4,-16.000
J.R. Smith,,37:58,6,12,0.500,2,3,0.667,2,2,1.000,0,4,4,7,4,0,2,1,16,1.000
Tim Hardaway Jr.,,30:04,7,13,0.538,2,7,0.286,0,0,0.000,0,1,1,2,1,1,1,2,16,1.000
Toure Murry,,9:17,1,3,0.333,0,0,0.000,0,0,0.000,0,1,1,1,1,0,0,1,2,-1.000
