12-23,TOR-OKC,104-98,Team,
25-21,37-35,13-28,29-14,
TOR
Terrence Ross,F,22:48,2,10,0.200,2,4,0.500,0,0,0.000,0,2,2,2,0,0,0,4,6,0.000
Amir Johnson,F,32:04,7,11,0.636,1,1,1.000,2,2,1.000,5,8,13,1,1,0,1,4,17,21.000
Jonas Valanciunas,C,35:27,6,10,0.600,0,0,0.000,1,2,0.500,2,4,6,0,0,2,1,2,13,3.000
DeMar DeRozan,G,38:10,7,20,0.350,0,0,0.000,3,5,0.600,0,2,2,4,0,0,2,4,17,-4.000
Kyle Lowry,G,37:18,6,16,0.375,3,6,0.500,7,7,1.000,2,5,7,9,4,0,2,3,22,4.000
John Salmons,,30:38,5,12,0.417,1,5,0.200,3,3,1.000,0,3,3,2,2,0,3,5,14,22.000
Tyler Hansbrough,,12:03,0,3,0.000,0,0,0.000,3,4,0.750,2,1,3,0,0,0,0,2,3,-4.000
Patrick Patterson,,16:11,2,3,0.667,1,1,1.000,0,0,0.000,1,1,2,0,0,0,0,1,5,-13.000
Steve Novak,,0:16,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,5.000
Greivis Vasquez,,15:06,1,6,0.167,0,3,0.000,5,6,0.833,0,4,4,4,0,0,4,4,7,-4.000
OKC
Kevin Durant,F,37:06,5,16,0.313,2,7,0.286,12,12,1.000,1,7,8,3,0,0,6,2,24,-10.000
Serge Ibaka,F,31:51,4,9,0.444,1,1,1.000,0,0,0.000,2,4,6,1,1,2,1,4,9,-7.000
Kendrick Perkins,C,18:47,0,1,0.000,0,0,0.000,0,0,0.000,0,3,3,0,0,0,2,4,0,-6.000
Thabo Sefolosha,G,17:39,1,2,0.500,1,1,1.000,2,2,1.000,1,1,2,1,1,0,1,5,5,1.000
Russell Westbrook,G,35:13,8,17,0.471,1,2,0.500,10,11,0.909,1,8,9,5,2,0,5,2,27,-6.000
Jeremy Lamb,,22:11,3,8,0.375,1,4,0.250,0,0,0.000,0,1,1,0,1,1,0,2,7,-8.000
Steven Adams,,10:37,0,3,0.000,0,0,0.000,0,0,0.000,3,2,5,0,0,2,1,5,0,6.000
Reggie Jackson,,21:17,1,11,0.091,0,5,0.000,4,4,1.000,0,4,4,5,1,0,3,0,6,6.000
Nick Collison,,16:09,2,3,0.667,0,0,0.000,2,2,1.000,2,3,5,1,1,1,0,1,6,1.000
Perry Jones,,11:37,3,4,0.750,0,1,0.000,2,2,1.000,2,1,3,0,0,1,0,1,8,-3.000
Derek Fisher,,17:33,1,2,0.500,1,2,0.500,3,3,1.000,1,0,1,1,0,0,0,2,6,-4.000
