12-26,LAC-GSW,103-105,Team,
30-22,23-29,25-24,25-30,
LAC
Jared Dudley,F,28:39,2,5,0.400,0,1,0.000,0,0,0.000,0,0,0,0,1,1,0,3,4,1.000
Blake Griffin,F,32:31,8,16,0.500,0,1,0.000,4,6,0.667,3,11,14,5,0,0,4,3,20,1.000
DeAndre Jordan,C,38:59,6,6,1.000,0,0,0.000,1,2,0.500,2,11,13,1,1,6,3,4,13,-12.000
Jamal Crawford,G,36:23,9,21,0.429,1,5,0.200,0,0,0.000,0,0,0,0,0,1,2,2,19,-10.000
Chris Paul,G,39:58,9,20,0.450,1,3,0.333,7,7,1.000,0,2,2,11,2,0,3,3,26,-1.000
Willie Green,,11:37,1,2,0.500,1,2,0.500,2,2,1.000,0,2,2,0,0,0,0,3,5,8.000
Matt Barnes,,20:52,0,3,0.000,0,2,0.000,0,0,0.000,0,4,4,4,1,1,1,4,0,0.000
Ryan Hollins,,7:46,0,0,0.000,0,0,0.000,1,2,0.500,0,0,0,0,0,0,0,1,1,8.000
Darren Collison,,18:11,4,6,0.667,1,3,0.333,2,2,1.000,1,0,1,1,1,0,0,1,11,-6.000
Antawn Jamison,,5:06,1,2,0.500,0,1,0.000,2,2,1.000,0,2,2,0,0,0,0,0,4,1.000
GSW
Andre Iguodala,F,33:19,3,5,0.600,3,3,1.000,0,2,0.000,2,2,4,4,2,0,1,0,9,13.000
David Lee,F,39:05,10,20,0.500,0,0,0.000,3,3,1.000,5,8,13,3,0,1,5,4,23,10.000
Andrew Bogut,C,27:48,5,8,0.625,0,0,0.000,0,0,0.000,6,8,14,1,2,0,0,2,10,1.000
Klay Thompson,G,41:49,10,22,0.455,3,10,0.300,0,2,0.000,0,5,5,4,2,2,1,4,23,8.000
Stephen Curry,G,42:29,5,17,0.294,2,6,0.333,3,3,1.000,1,5,6,11,1,0,2,1,15,8.000
Harrison Barnes,,25:08,3,13,0.231,1,1,1.000,7,9,0.778,0,5,5,1,0,1,1,0,14,-1.000
Marreese Speights,,11:08,3,5,0.600,0,0,0.000,2,2,1.000,1,0,1,0,1,0,2,5,8,-8.000
Toney Douglas,,5:31,1,2,0.500,1,2,0.500,0,1,0.000,0,0,0,1,0,0,0,3,3,-6.000
Draymond Green,,7:48,0,3,0.000,0,2,0.000,0,0,0.000,0,0,0,1,0,0,1,2,0,-9.000
Kent Bazemore,,4:48,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,1,0,-4.000
Hilton Armstrong,,1:08,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,0,0,-2.000
