01-05,DAL-CLE,109-90,Team,
28-25,29-22,32-24,20-19,
DAL
Chandler Parsons,F,26:09,5,11,0.455,2,7,0.286,2,2,1.000,1,3,4,3,1,0,1,1,14,12.000
Dirk Nowitzki,F,25:02,7,12,0.583,1,2,0.500,0,0,0.000,0,5,5,3,0,2,0,0,15,3.000
Tyson Chandler,C,29:29,6,7,0.857,0,0,0.000,2,2,1.000,1,7,8,3,0,1,1,2,14,14.000
Monta Ellis,G,26:19,8,15,0.533,1,4,0.250,3,4,0.750,0,1,1,2,1,1,1,2,20,9.000
Rajon Rondo,G,28:21,2,6,0.333,0,1,0.000,0,0,0.000,0,4,4,8,2,1,1,2,4,13.000
Richard Jefferson,,23:53,3,5,0.600,3,3,1.000,2,2,1.000,0,3,3,3,0,1,1,2,11,9.000
Devin Harris,,18:00,3,8,0.375,2,5,0.400,0,0,0.000,0,1,1,2,1,2,1,1,8,7.000
Greg Smith,,9:44,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,2,0,5.000
Jose Juan Barea,,20:47,6,7,0.857,2,3,0.667,0,0,0.000,0,2,2,4,0,0,2,4,14,8.000
Raymond Felton,,2:33,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,1,1,0,0,0,0,1.000
Dwight Powell,,2:33,1,1,1.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,2,1.000
Charlie Villanueva,,2:33,1,1,1.000,1,1,1.000,0,0,0.000,0,1,1,0,0,0,1,0,3,1.000
CLE
Mike Miller,F,22:12,1,2,0.500,1,2,0.500,0,0,0.000,0,2,2,3,0,0,0,1,3,-14.000
Kevin Love,F,32:23,11,21,0.524,3,7,0.429,5,6,0.833,6,4,10,3,1,1,2,1,30,-10.000
Tristan Thompson,C,38:34,3,5,0.600,0,0,0.000,2,6,0.333,3,8,11,2,2,1,1,4,8,-14.000
Matthew Dellavedova,G,31:28,4,10,0.400,2,3,0.667,0,0,0.000,1,2,3,7,0,0,3,3,10,-16.000
Kyrie Irving,G,25:11,2,9,0.222,0,2,0.000,2,2,1.000,0,2,2,3,1,0,1,1,6,-7.000
Dion Waiters,,21:44,4,14,0.286,0,4,0.000,0,0,0.000,1,1,2,4,0,0,2,2,8,-3.000
Shawn Marion,,20:47,6,11,0.545,1,1,1.000,0,0,0.000,1,3,4,1,0,0,1,2,13,-11.000
Joe Harris,,10:58,0,3,0.000,0,2,0.000,0,0,0.000,0,0,0,0,1,0,0,0,0,-9.000
James Jones,,12:34,1,3,0.333,1,3,0.333,3,3,1.000,0,2,2,0,0,1,1,0,6,-2.000
A.J. Price,,13:56,3,6,0.500,0,1,0.000,0,0,0.000,0,2,2,3,1,0,0,0,6,-3.000
Alex Kirk,,5:58,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
Lou Amundson,,4:15,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-4.000
