01-11,UTA-HOU,82-97,Team,
23-23,14-23,20-32,25-19,
UTA
Gordon Hayward,F,29:56,2,10,0.200,1,2,0.500,4,4,1.000,1,3,4,5,2,0,5,1,9,-16.000
Derrick Favors,F,17:35,5,6,0.833,0,0,0.000,5,5,1.000,0,7,7,0,2,0,3,2,15,-2.000
Rudy Gobert,C,34:47,2,2,1.000,0,0,0.000,0,0,0.000,0,5,5,3,1,3,3,1,4,-10.000
Joe Ingles,G,17:59,1,3,0.333,0,0,0.000,0,0,0.000,0,3,3,4,2,0,1,0,2,0.000
Trey Burke,G,35:20,6,14,0.429,1,4,0.250,3,3,1.000,1,4,5,3,0,0,4,4,16,-13.000
Enes Kanter,,20:59,6,10,0.600,0,0,0.000,4,5,0.800,4,2,6,1,1,0,2,3,16,-9.000
Elijah Millsap,,27:51,3,11,0.273,2,5,0.400,0,0,0.000,1,1,2,2,3,1,4,1,8,-7.000
Trevor Booker,,13:57,2,4,0.500,0,1,0.000,0,0,0.000,0,1,1,0,0,1,1,3,4,-11.000
Dante Exum,,7:32,1,2,0.500,0,1,0.000,1,2,0.500,0,1,1,0,0,0,1,1,3,-1.000
Elliot Williams,,21:25,1,6,0.167,1,3,0.333,0,0,0.000,0,1,1,0,2,0,3,0,3,-7.000
Ian Clark,,3:57,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,-1.000
Jeremy Evans,,8:42,0,1,0.000,0,0,0.000,2,2,1.000,2,4,6,1,2,1,0,1,2,2.000
HOU
Trevor Ariza,F,27:45,3,9,0.333,2,5,0.400,2,2,1.000,1,2,3,3,5,0,2,2,10,11.000
Donatas Motiejunas,F,35:35,6,8,0.750,1,2,0.500,1,2,0.500,2,8,10,1,3,0,4,2,14,29.000
Dwight Howard,C,37:12,4,9,0.444,0,0,0.000,0,0,0.000,2,6,8,1,1,1,3,4,8,-1.000
James Harden,G,34:17,8,14,0.571,4,8,0.500,10,11,0.909,1,2,3,5,1,1,6,3,30,25.000
Patrick Beverley,G,29:05,3,13,0.231,2,7,0.286,2,2,1.000,2,2,4,7,2,0,1,3,10,9.000
Josh Smith,,20:33,4,10,0.400,0,1,0.000,2,2,1.000,0,3,3,2,0,1,0,1,10,6.000
Corey Brewer,,18:55,3,9,0.333,2,6,0.333,1,2,0.500,0,1,1,1,2,0,1,2,9,6.000
Jason Terry,,18:55,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,4,1,0,0,3,0,6.000
Kostas Papanikolaou,,13:43,1,3,0.333,1,3,0.333,0,0,0.000,0,1,1,0,1,0,3,0,3,-10.000
Isaiah Canaan,,1:20,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
Joey Dorsey,,1:20,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
Alexey Shved,,1:20,1,1,1.000,1,1,1.000,0,0,0.000,0,0,0,0,0,0,0,0,3,-2.000
