01-13,DET-TOR,114-111,Team,
20-32,28-28,34-23,32-28,
DET
Kyle Singler,F,30:57,3,7,0.429,2,3,0.667,0,0,0.000,0,4,4,1,1,1,2,1,8,3.000
Greg Monroe,F,32:53,9,16,0.563,0,0,0.000,4,7,0.571,6,4,10,2,1,1,0,1,22,10.000
Andre Drummond,C,28:20,3,12,0.250,0,0,0.000,4,6,0.667,7,7,14,1,1,1,0,3,10,8.000
Brandon Jennings,G,33:38,11,22,0.500,4,8,0.500,8,9,0.889,0,2,2,10,2,0,2,1,34,9.000
Jodie Meeks,,22:44,5,14,0.357,1,4,0.250,2,2,1.000,1,2,3,1,0,0,0,2,13,-9.000
Jonas Jerebko,,25:47,4,5,0.800,0,1,0.000,2,2,1.000,1,3,4,2,1,0,0,2,10,-9.000
Caron Butler,,9:00,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,1,1,0,0,1,0,-3.000
Joel Anthony,,5:49,1,3,0.333,0,0,0.000,0,0,0.000,1,1,2,0,1,1,0,0,2,-2.000
D.J. Augustin,,14:22,2,7,0.286,0,0,0.000,2,2,1.000,1,2,3,4,1,0,3,1,6,-6.000
Anthony Tolliver,,3:11,0,2,0.000,0,2,0.000,0,0,0.000,0,1,1,0,0,0,0,2,0,-1.000
TOR
James Johnson,F,34:50,3,3,1.000,0,0,0.000,5,6,0.833,1,3,4,4,0,1,1,5,11,-6.000
Amir Johnson,F,29:49,6,14,0.429,0,0,0.000,0,0,0.000,4,6,10,5,1,2,1,4,12,-14.000
Jonas Valanciunas,C,35:36,14,15,0.933,0,0,0.000,3,4,0.750,4,8,12,0,0,1,2,4,31,-14.000
Terrence Ross,G,23:12,5,11,0.455,2,8,0.250,0,0,0.000,0,1,1,0,0,1,1,1,12,1.000
Kyle Lowry,G,33:01,3,12,0.250,2,6,0.333,2,2,1.000,0,7,7,12,2,0,7,3,10,-8.000
Patrick Patterson,,23:46,1,7,0.143,0,5,0.000,0,0,0.000,1,1,2,1,0,0,0,1,2,15.000
Lou Williams,,23:38,7,14,0.500,1,5,0.200,0,2,0.000,0,1,1,3,0,1,4,0,15,6.000
Greivis Vasquez,,25:23,7,9,0.778,2,3,0.667,0,0,0.000,0,3,3,4,1,1,1,0,16,-1.000
Tyler Hansbrough,,9:29,1,1,1.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,1,2,2,3.000
Charles Hayes,,1:17,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,3.000
