01-22,BKN-SAC,103-100,Team,
36-24,26-22,20-23,21-31,
BKN
Joe Johnson,F,37:14,6,15,0.400,1,4,0.250,3,4,0.750,4,4,8,4,1,0,0,3,16,1.000
Kevin Garnett,F,14:12,2,3,0.667,0,0,0.000,0,0,0.000,0,5,5,0,0,0,0,3,4,1.000
Mason Plumlee,C,11:07,3,3,1.000,0,0,0.000,0,1,0.000,0,0,0,2,1,0,2,4,6,1.000
Bojan Bogdanovic,G,30:44,3,10,0.300,0,3,0.000,4,4,1.000,0,3,3,1,1,0,3,2,10,-6.000
Jarrett Jack,G,38:32,5,10,0.500,1,4,0.250,5,7,0.714,0,4,4,8,2,0,4,2,16,-8.000
Brook Lopez,,37:41,8,15,0.533,0,1,0.000,6,7,0.857,2,4,6,3,1,6,3,4,22,2.000
Mirza Teletovic,,20:44,2,5,0.400,1,2,0.500,0,0,0.000,2,5,7,1,0,0,1,2,5,14.000
Alan Anderson,,29:25,4,8,0.500,1,3,0.333,5,5,1.000,0,5,5,2,1,0,1,2,14,0.000
Markel Brown,,5:10,1,3,0.333,1,1,1.000,0,0,0.000,0,2,2,0,0,0,0,0,3,8.000
Darius Morris,,13:10,3,6,0.500,0,2,0.000,1,2,0.500,1,1,2,1,0,0,0,0,7,0.000
Jerome Jordan,,2:01,0,1,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,2,0,2.000
SAC
Rudy Gay,F,41:51,10,19,0.526,1,4,0.250,4,4,1.000,1,7,8,6,1,1,1,3,25,-2.000
Jason Thompson,F,22:20,2,2,1.000,0,0,0.000,0,0,0.000,1,1,2,0,0,1,2,3,4,-16.000
DeMarcus Cousins,C,40:55,10,24,0.417,0,0,0.000,8,11,0.727,6,8,14,3,2,0,2,3,28,11.000
Ben McLemore,G,36:53,3,10,0.300,2,7,0.286,1,2,0.500,0,5,5,3,0,0,1,2,9,4.000
Darren Collison,G,36:51,6,13,0.462,2,7,0.286,2,2,1.000,1,1,2,5,2,0,3,4,16,12.000
Nik Stauskas,,6:42,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-8.000
Derrick Williams,,11:11,2,4,0.500,0,0,0.000,2,3,0.667,0,1,1,0,0,0,0,0,6,-15.000
Ramon Sessions,,21:31,1,4,0.250,0,0,0.000,0,0,0.000,0,4,4,4,0,0,2,2,2,0.000
Omri Casspi,,18:54,5,8,0.625,0,0,0.000,0,2,0.000,1,4,5,1,0,0,2,1,10,0.000
Reggie Evans,,2:50,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,0.000
Ray McCallum,,0:02,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-1.000
