01-31,TOR-BKN,127-122,Team,
29-23,37-31,25-28,22-31,14-9,
TOR
DeMar DeRozan,F,35:52,7,13,0.538,0,1,0.000,6,6,1.000,0,3,3,9,1,0,1,2,20,4.000
Amir Johnson,F,29:34,8,9,0.889,0,0,0.000,4,4,1.000,2,3,5,0,0,0,2,5,20,11.000
Jonas Valanciunas,C,32:51,7,7,1.000,0,0,0.000,0,0,0.000,3,8,11,0,0,2,0,1,14,12.000
Greivis Vasquez,G,24:25,3,8,0.375,2,4,0.500,0,0,0.000,0,7,7,0,0,0,1,0,8,2.000
Kyle Lowry,G,39:04,4,15,0.267,1,6,0.167,0,0,0.000,0,5,5,8,2,0,3,4,9,10.000
Patrick Patterson,,27:20,6,13,0.462,0,5,0.000,0,0,0.000,1,2,3,0,1,1,1,1,12,-17.000
Lou Williams,,24:38,5,10,0.500,2,6,0.333,10,11,0.909,0,3,3,3,0,0,1,4,22,-11.000
Terrence Ross,,20:01,2,7,0.286,1,3,0.333,0,0,0.000,0,1,1,1,0,0,0,0,5,-5.000
Tyler Hansbrough,,6:15,0,0,0.000,0,0,0.000,3,4,0.750,0,0,0,0,1,0,0,1,3,-6.000
BKN
Joe Johnson,F,40:36,8,15,0.533,1,4,0.250,0,0,0.000,1,3,4,3,0,0,1,0,17,-7.000
Kevin Garnett,F,9:27,0,4,0.000,0,0,0.000,1,2,0.500,1,1,2,1,2,0,1,2,1,-16.000
Mason Plumlee,C,31:18,4,4,1.000,0,0,0.000,2,5,0.400,1,7,8,0,0,0,2,2,10,-6.000
Alan Anderson,G,16:57,3,7,0.429,1,2,0.500,0,0,0.000,0,1,1,0,0,0,0,3,7,-10.000
Jarrett Jack,G,47:13,12,24,0.500,1,4,0.250,8,8,1.000,0,8,8,11,1,0,2,3,33,4.000
Brook Lopez,,36:23,13,26,0.500,0,0,0.000,4,5,0.800,6,3,9,0,3,2,1,3,30,4.000
Bojan Bogdanovic,,35:11,3,7,0.429,1,4,0.250,4,4,1.000,1,6,7,2,0,0,0,3,11,18.000
Cory Jefferson,,18:37,2,3,0.667,0,0,0.000,0,0,0.000,1,3,4,0,0,0,0,0,4,19.000
Darius Morris,,4:17,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,1,0,0,1,0,-6.000
