02-03,MEM-PHX,102-101,Team,
25-23,24-21,28-28,25-29,
MEM
Jeff Green,F,36:09,4,12,0.333,1,3,0.333,3,5,0.600,4,3,7,1,2,0,1,1,12,-1.000
Zach Randolph,F,31:52,6,15,0.400,0,0,0.000,7,8,0.875,3,6,9,1,1,0,2,2,19,7.000
Marc Gasol,C,34:27,4,11,0.364,0,0,0.000,7,8,0.875,0,6,6,8,0,3,3,3,15,1.000
Courtney Lee,G,31:57,2,4,0.500,0,0,0.000,2,2,1.000,0,1,1,1,1,1,1,1,6,-7.000
Mike Conley,G,28:12,9,15,0.600,1,5,0.200,4,5,0.800,0,1,1,1,2,0,3,5,23,-3.000
Tony Allen,,23:31,5,12,0.417,0,1,0.000,0,0,0.000,2,2,4,2,2,0,2,1,10,0.000
Beno Udrih,,17:05,1,3,0.333,0,1,0.000,2,4,0.500,0,0,0,2,1,0,1,3,4,2.000
Jon Leuer,,10:56,2,6,0.333,0,0,0.000,0,0,0.000,2,4,6,1,1,0,0,0,4,5.000
Nick Calathes,,10:45,2,3,0.667,1,1,1.000,0,0,0.000,0,1,1,1,1,0,0,0,5,6.000
Kosta Koufos,,15:08,1,2,0.500,0,0,0.000,2,2,1.000,5,6,11,1,1,0,1,1,4,-5.000
PHX
PJ Tucker,F,27:16,2,7,0.286,1,1,1.000,2,2,1.000,2,1,3,1,0,0,1,2,7,8.000
Markieff Morris,F,31:12,7,15,0.467,0,1,0.000,0,0,0.000,0,3,3,1,2,1,1,3,14,-11.000
Alex Len,C,22:08,0,2,0.000,0,0,0.000,0,2,0.000,2,5,7,0,2,2,2,2,0,1.000
Goran Dragic,G,40:51,7,14,0.500,1,3,0.333,0,1,0.000,1,4,5,4,2,0,4,3,15,14.000
Eric Bledsoe,G,37:58,9,16,0.563,1,3,0.333,2,4,0.500,2,5,7,8,4,2,3,4,21,8.000
Isaiah Thomas,,23:30,8,19,0.421,2,7,0.286,6,6,1.000,0,3,3,2,0,0,3,4,24,-10.000
Marcus Morris,,20:44,3,4,0.750,1,1,1.000,0,2,0.000,0,1,1,2,2,0,0,3,7,-9.000
Gerald Green,,3:26,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,2,1,0,-7.000
Brandan Wright,,22:25,5,6,0.833,0,0,0.000,1,1,1.000,1,5,6,0,0,1,0,1,11,4.000
Miles Plumlee,,10:30,1,1,1.000,0,0,0.000,0,0,0.000,3,0,3,0,0,0,0,2,2,-3.000
