02-25,GSW-WAS,114-107,Team,
30-28,24-23,32-32,28-24,
GSW
Harrison Barnes,F,30:38,5,12,0.417,1,3,0.333,0,0,0.000,0,2,2,2,0,0,1,2,11,-8.000
Draymond Green,F,29:36,5,9,0.556,3,4,0.750,0,0,0.000,0,6,6,5,0,1,2,4,13,-8.000
Andrew Bogut,C,20:29,1,4,0.250,0,0,0.000,0,0,0.000,0,2,2,1,0,0,0,3,2,-6.000
Klay Thompson,G,34:34,7,13,0.538,1,2,0.500,2,2,1.000,0,1,1,4,5,0,3,2,17,1.000
Stephen Curry,G,33:49,11,18,0.611,5,9,0.556,5,5,1.000,0,0,0,8,2,0,0,1,32,1.000
David Lee,,18:24,2,6,0.333,0,0,0.000,1,2,0.500,1,9,10,1,1,0,0,0,5,15.000
Marreese Speights,,15:02,6,12,0.500,0,0,0.000,4,6,0.667,1,1,2,1,0,0,2,1,16,9.000
Andre Iguodala,,29:51,4,8,0.500,1,3,0.333,0,2,0.000,1,3,4,2,3,0,1,3,9,19.000
Leandro Barbosa,,13:26,1,3,0.333,1,2,0.500,0,0,0.000,0,0,0,1,1,0,0,1,3,6.000
Shaun Livingston,,14:11,3,5,0.600,0,0,0.000,0,0,0.000,1,1,2,2,0,0,0,0,6,6.000
WAS
Paul Pierce,F,28:13,7,11,0.636,2,4,0.500,9,9,1.000,0,5,5,1,1,1,2,1,25,11.000
Nene,F,27:45,3,4,0.750,0,0,0.000,3,5,0.600,0,7,7,2,0,1,4,4,9,2.000
Marcin Gortat,C,29:28,8,11,0.727,0,0,0.000,0,0,0.000,1,10,11,3,0,1,2,1,16,-2.000
Garrett Temple,G,31:37,3,7,0.429,2,5,0.400,2,2,1.000,0,3,3,2,2,1,2,3,10,0.000
John Wall,G,34:23,8,18,0.444,0,4,0.000,0,1,0.000,2,1,3,11,0,0,8,3,16,2.000
Kevin Seraphin,,18:21,5,9,0.556,0,0,0.000,0,0,0.000,1,2,3,1,0,0,4,2,10,-14.000
Rasual Butler,,21:43,4,7,0.571,1,3,0.333,0,0,0.000,2,1,3,1,0,0,0,1,9,-15.000
Ramon Sessions,,15:49,1,5,0.200,0,1,0.000,2,2,1.000,1,2,3,2,1,0,2,3,4,-9.000
Martell Webster,,15:37,0,2,0.000,0,1,0.000,2,2,1.000,0,2,2,0,0,0,1,1,2,-9.000
Kris Humphries,,17:05,3,5,0.600,0,0,0.000,0,0,0.000,2,3,5,0,0,0,1,1,6,-1.000
