02-28,MIA-NOP,102-104,Team,
25-24,29-30,28-19,20-31,
MIA
Luol Deng,F,37:42,7,11,0.636,1,3,0.333,7,8,0.875,0,3,3,2,1,0,0,3,22,2.000
Udonis Haslem,F,15:04,1,2,0.500,0,0,0.000,0,0,0.000,1,1,2,2,0,1,0,0,2,4.000
Hassan Whiteside,C,33:05,8,13,0.615,0,0,0.000,0,0,0.000,1,6,7,0,1,4,0,1,16,-1.000
Dwyane Wade,G,29:28,4,16,0.250,0,4,0.000,3,4,0.750,1,3,4,8,0,0,4,3,11,-3.000
Goran Dragic,G,35:28,9,13,0.692,0,0,0.000,2,2,1.000,1,2,3,5,1,0,1,5,20,9.000
Henry Walker,,30:41,6,13,0.462,4,9,0.444,0,2,0.000,0,3,3,1,0,1,0,3,16,-2.000
Mario Chalmers,,24:43,2,5,0.400,2,3,0.667,0,0,0.000,0,1,1,0,0,0,1,2,6,-5.000
Michael Beasley,,10:18,3,7,0.429,1,1,1.000,0,0,0.000,0,2,2,1,0,0,0,1,7,-4.000
Shabazz Napier,,8:37,0,0,0.000,0,0,0.000,0,0,0.000,1,1,2,2,0,0,0,2,0,-9.000
Chris Andersen,,14:55,1,4,0.250,0,1,0.000,0,0,0.000,1,3,4,0,0,1,0,3,2,-1.000
NOP
Quincy Pondexter,F,33:19,7,11,0.636,0,2,0.000,4,6,0.667,2,1,3,0,0,1,0,4,18,-4.000
Dante Cunningham,F,37:35,3,7,0.429,0,0,0.000,4,6,0.667,1,9,10,2,1,0,0,1,10,7.000
Omer Asik,C,26:22,2,3,0.667,0,0,0.000,1,1,1.000,1,9,10,0,1,1,1,0,5,-2.000
Eric Gordon,G,36:52,7,15,0.467,4,6,0.667,2,2,1.000,0,1,1,8,0,0,1,3,20,-5.000
Tyreke Evans,G,33:23,9,15,0.600,1,3,0.333,0,0,0.000,1,2,3,11,0,0,5,6,19,11.000
Luke Babbitt,,22:34,2,4,0.500,1,2,0.500,0,0,0.000,0,0,0,1,1,1,0,0,5,-2.000
Norris Cole,,22:40,0,10,0.000,0,3,0.000,3,4,0.750,0,2,2,4,0,0,2,3,3,-2.000
Alexis Ajinca,,21:38,9,10,0.900,0,0,0.000,6,8,0.750,2,6,8,0,0,3,1,2,24,4.000
Jimmer Fredette,,5:38,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,3.000
