03-01,SAS-PHX,101-74,Team,
24-13,27-11,24-17,26-33,
SAS
Kawhi Leonard,F,31:55,9,18,0.500,0,1,0.000,4,4,1.000,0,10,10,0,3,2,0,2,22,24.000
Tim Duncan,F,20:47,3,6,0.500,0,0,0.000,0,0,0.000,3,7,10,1,0,1,2,3,6,19.000
Tiago Splitter,C,15:19,4,5,0.800,0,0,0.000,0,2,0.000,1,2,3,0,0,1,0,2,8,6.000
Danny Green,G,24:51,4,7,0.571,2,4,0.500,2,2,1.000,0,8,8,1,0,1,1,1,12,24.000
Tony Parker,G,22:37,3,13,0.231,0,2,0.000,0,0,0.000,0,0,0,2,0,0,0,0,6,17.000
Manu Ginobili,,18:34,1,4,0.250,0,1,0.000,0,0,0.000,0,4,4,7,0,0,1,2,2,27.000
Boris Diaw,,22:55,6,14,0.429,0,1,0.000,0,0,0.000,1,3,4,1,1,0,1,1,12,5.000
Patty Mills,,22:12,3,10,0.300,1,7,0.143,2,2,1.000,1,3,4,2,2,0,1,1,9,16.000
Aron Baynes,,19:40,3,3,1.000,0,0,0.000,6,6,1.000,4,6,10,1,0,1,3,6,12,20.000
Marco Belinelli,,17:16,2,6,0.333,0,2,0.000,0,0,0.000,0,1,1,0,0,0,0,2,4,-1.000
Cory Joseph,,10:19,2,5,0.400,0,0,0.000,1,1,1.000,0,0,0,3,1,0,2,3,5,-11.000
Jeff Ayres,,7:19,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,3,1,0,-10.000
Matt Bonner,,6:16,1,1,1.000,1,1,1.000,0,0,0.000,0,1,1,0,0,0,0,0,3,-1.000
PHX
PJ Tucker,F,26:14,1,7,0.143,1,3,0.333,2,2,1.000,2,9,11,0,0,0,1,3,5,-17.000
Markieff Morris,F,17:56,4,9,0.444,0,1,0.000,2,3,0.667,0,2,2,3,1,0,2,5,10,-9.000
Alex Len,C,32:30,2,9,0.222,0,0,0.000,2,3,0.667,0,9,9,1,2,0,1,3,6,-6.000
Brandon Knight,G,16:42,0,6,0.000,0,1,0.000,1,2,0.500,0,0,0,2,0,0,0,0,1,-15.000
Eric Bledsoe,G,31:55,3,9,0.333,0,2,0.000,6,7,0.857,1,5,6,0,0,0,2,1,12,-32.000
Gerald Green,,14:24,2,7,0.286,0,3,0.000,0,0,0.000,0,1,1,0,0,0,3,0,4,-7.000
Brandan Wright,,14:08,0,3,0.000,0,0,0.000,3,4,0.750,3,0,3,0,1,2,0,0,3,-10.000
Marcus Morris,,24:39,7,14,0.500,3,4,0.750,2,2,1.000,1,6,7,0,1,1,1,3,19,-10.000
Earl Barron,,7:16,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,0,1,0,1,2,0,-14.000
Archie Goodwin,,17:39,2,7,0.286,1,1,1.000,0,0,0.000,1,1,2,3,1,0,5,3,5,-2.000
TJ Warren,,17:56,4,7,0.571,0,0,0.000,1,1,1.000,0,1,1,2,0,0,1,1,9,-4.000
Marcus Thornton,,4:38,0,3,0.000,0,1,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,-10.000
Reggie Bullock,,14:03,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,1,1,1,0,1.000
