03-06,OKC-CHI,105-108,Team,
30-18,20-30,29-24,26-36,
OKC
Kyle Singler,F,15:22,1,3,0.333,1,2,0.500,0,0,0.000,0,2,2,0,1,0,0,0,3,9.000
Serge Ibaka,F,45:31,12,19,0.632,0,1,0.000,1,2,0.500,2,7,9,3,1,3,2,3,25,1.000
Enes Kanter,C,30:28,2,6,0.333,0,0,0.000,2,2,1.000,3,3,6,0,1,1,0,4,6,-2.000
Andre Roberson,G,22:41,1,2,0.500,0,1,0.000,0,0,0.000,0,4,4,1,2,0,0,1,2,4.000
Russell Westbrook,G,38:07,14,32,0.438,3,5,0.600,12,15,0.800,2,6,8,7,2,0,5,3,43,-8.000
Dion Waiters,,26:23,3,10,0.300,0,2,0.000,0,0,0.000,0,1,1,3,0,0,1,0,6,-7.000
Nick Collison,,17:27,1,1,1.000,0,0,0.000,0,0,0.000,1,4,5,3,0,0,1,3,2,3.000
Anthony Morrow,,22:32,3,8,0.375,2,5,0.400,0,0,0.000,0,4,4,0,0,0,0,1,8,3.000
D.J. Augustin,,18:57,4,7,0.571,2,4,0.500,0,0,0.000,0,1,1,3,1,0,0,1,10,-11.000
Mitch McGary,,2:29,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,2,0,-4.000
Perry Jones,,0:03,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-3.000
CHI
Mike Dunleavy,F,37:33,8,17,0.471,3,6,0.500,2,2,1.000,0,4,4,2,0,0,2,3,21,11.000
Pau Gasol,F,31:37,9,19,0.474,0,0,0.000,3,4,0.750,5,7,12,2,0,0,1,1,21,-5.000
Joakim Noah,C,30:38,2,4,0.500,0,0,0.000,0,2,0.000,3,9,12,9,1,0,0,2,4,-1.000
Tony Snell,G,29:05,2,7,0.286,0,2,0.000,0,0,0.000,1,2,3,1,1,0,1,2,4,-13.000
Aaron Brooks,G,24:18,2,8,0.250,0,2,0.000,2,2,1.000,0,3,3,7,0,0,3,1,6,-1.000
Nikola Mirotic,,33:45,5,15,0.333,2,9,0.222,14,16,0.875,0,8,8,1,0,2,1,2,26,12.000
Doug McDermott,,7:47,0,3,0.000,0,2,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-5.000
Kirk Hinrich,,23:13,3,4,0.750,1,2,0.500,0,0,0.000,1,1,2,4,0,0,2,1,7,0.000
