03-24,HOU-IND,110-100,Team,
26-15,27-24,23-29,34-32,
HOU
Trevor Ariza,F,31:43,1,2,0.500,0,0,0.000,2,2,1.000,0,11,11,1,2,0,4,3,4,10.000
Donatas Motiejunas,F,37:58,6,9,0.667,1,2,0.500,4,4,1.000,0,2,2,3,3,0,2,4,17,3.000
Joey Dorsey,C,25:07,0,2,0.000,0,0,0.000,0,0,0.000,0,8,8,0,0,1,1,6,0,13.000
James Harden,G,43:05,10,21,0.476,3,8,0.375,21,22,0.955,1,3,4,7,2,2,4,4,44,5.000
Patrick Beverley,G,19:42,3,6,0.500,2,3,0.667,0,0,0.000,1,0,1,0,1,2,3,1,8,7.000
Corey Brewer,,25:19,2,6,0.333,1,2,0.500,6,6,1.000,0,2,2,1,0,0,1,0,11,6.000
Josh Smith,,28:49,7,14,0.500,4,6,0.667,0,0,0.000,2,3,5,3,1,0,2,2,18,3.000
Jason Terry,,18:06,2,5,0.400,2,3,0.667,0,1,0.000,0,2,2,1,1,0,2,3,6,1.000
Pablo Prigioni,,10:13,0,0,0.000,0,0,0.000,2,2,1.000,0,0,0,0,1,0,0,2,2,2.000
IND
Solomon Hill,F,25:11,2,6,0.333,1,2,0.500,0,0,0.000,1,0,1,2,0,0,5,3,5,-4.000
David West,F,30:50,4,13,0.308,0,0,0.000,2,4,0.500,1,3,4,5,0,0,2,2,10,1.000
Roy Hibbert,C,31:38,8,12,0.667,0,0,0.000,2,2,1.000,6,4,10,1,1,1,2,3,18,4.000
CJ Miles,G,32:11,3,16,0.188,0,8,0.000,0,0,0.000,0,2,2,3,0,0,1,2,6,-9.000
George Hill,G,35:43,9,15,0.600,2,6,0.333,0,1,0.000,1,5,6,3,3,3,1,4,20,-1.000
Damjan Rudez,,21:23,3,6,0.500,1,3,0.333,0,0,0.000,0,0,0,1,0,0,2,1,7,-9.000
Ian Mahinmi,,15:26,1,4,0.250,0,0,0.000,0,0,0.000,3,5,8,0,1,1,3,5,2,-13.000
CJ Watson,,30:27,7,10,0.700,4,5,0.800,5,6,0.833,1,1,2,5,2,0,1,3,23,-8.000
Luis Scola,,17:10,3,8,0.375,0,0,0.000,3,6,0.500,3,4,7,1,0,0,1,0,9,-11.000
